index,date,ERROR_ID,STACK_ERROR_UNDER,CELL_ERROR_UNDER,MIN_CELL_VOLTAGE,5,6,7,8
248,1765224722129,0,2,1,3.27,0,0,0,0
249,1765224725662,0,2,1,3.27,0,0,0,0
250,1765224730814,0,2,1,3.27,0,0,0,0
251,1765224730930,0,2,1,3.27,0,0,0,0
252,1765224736112,0,2,1,3.28,0,0,0,0
253,1765224741263,0,2,1,3.28,0,0,0,0
254,1765224757670,0,4,1,3.28,0,0,0,0
255,1765224759044,0,2,1,3.28,0,0,0,0
256,1765224759214,0,4,1,3.28,0,0,0,0
257,1765224769113,0,4,1,3.28,0,0,0,0
258,1765224769330,0,4,1,3.28,0,0,0,0
259,1765224773812,0,4,1,3.28,0,0,0,0
260,1765224780463,0,4,1,3.28,0,0,0,0
261,1765224888977,0,4,1,3.28,0,0,0,0
262,1765224896411,0,4,1,3.28,0,0,0,0
263,1765224899095,0,4,1,3.28,0,0,0,0
264,1765224900479,0,4,1,3.28,0,0,0,0
265,1765224901710,0,4,1,3.28,0,0,0,0
266,1765224903095,0,4,1,3.28,0,0,0,0
267,1765224909298,0,4,1,3.28,0,0,0,0
268,1765224910278,0,4,1,3.28,0,0,0,0
269,1765224912311,0,4,1,3.28,0,0,0,0
270,1765224914078,0,4,1,3.28,0,0,0,0
271,1765224914695,0,4,1,3.28,0,0,0,0
272,1765224919377,0,4,1,3.28,0,0,0,0
273,1765224920047,0,4,1,3.28,0,0,0,0
274,1765224923807,0,4,1,3.28,0,0,0,0
275,1765224925528,0,4,1,3.28,0,0,0,0
276,1765224927278,0,4,1,3.28,0,0,0,0
277,1765224932327,0,4,1,3.28,0,0,0,0
278,1765224934111,0,4,1,3.28,0,0,0,0
279,1765224935644,0,4,1,3.28,0,0,0,0
280,1765224935860,0,4,1,3.28,0,0,0,0
281,1765224973045,0,4,3,3.28,0,0,0,0
282,1765224974544,0,4,1,3.28,0,0,0,0
283,1765224974743,0,4,1,3.28,0,0,0,0
284,1765224987174,0,4,1,3.28,0,0,0,0
285,1765224992394,0,4,1,3.28,0,0,0,0
286,1765224992546,0,4,1,3.28,0,0,0,0
287,1765224995892,0,4,1,3.28,0,0,0,0
288,1765224997849,0,4,1,3.28,0,0,0,0
289,1765225000993,0,4,1,3.28,0,0,0,0
290,1765225007726,0,4,1,3.28,0,0,0,0
291,1765225011210,0,4,1,3.28,0,0,0,0
292,1765225020124,0,4,1,3.28,0,0,0,0
293,1765225021909,0,4,1,3.28,0,0,0,0
294,1765225023843,0,4,1,3.28,0,0,0,0
295,1765225027425,0,4,1,3.28,0,0,0,0
296,1765225029144,0,4,1,3.28,0,0,0,0
297,1765225032744,0,4,1,3.28,0,0,0,0
298,1765225042896,0,4,1,3.28,0,0,0,0
299,1765225055144,0,2,3,3.1,0,0,0,0
300,1765225060360,2,1,3,3.24,0,0,0,0
301,1765225060541,2,1,3,3.25,0,0,0,0
302,1765225062044,2,1,3,3.26,0,0,0,0
303,1765225062076,2,1,3,3.26,0,0,0,0
304,1765225063859,2,2,1,3.26,0,0,0,0
305,1765225065424,2,2,1,3.27,0,0,0,0
306,1765225065592,2,2,1,3.27,0,0,0,0
307,1765225067176,2,2,1,3.27,0,0,0,0
308,1765225067225,2,2,1,3.27,0,0,0,0
309,1765225067391,2,2,1,3.27,0,0,0,0
310,1765225068956,2,2,1,3.27,0,0,0,0
311,1765225070724,2,2,1,3.27,0,0,0,0
312,1765225070740,2,2,1,3.27,0,0,0,0
313,1765225072476,2,2,1,3.27,0,0,0,0
314,1765225074042,2,2,1,3.27,0,0,0,0
315,1765225074091,2,2,1,3.27,0,0,0,0
316,1765225074419,2,2,1,3.27,0,0,0,0
317,1765225075792,2,2,1,3.27,0,0,0,0
318,1765225075875,2,2,1,3.27,0,0,0,0
319,1765225076009,2,2,1,3.27,0,0,0,0
320,1765225076058,2,2,1,3.27,0,0,0,0
321,1765225077590,2,2,1,3.27,0,0,0,0
