index,date,NTC_1,NTC_2,NTC_3
517,1782667559544,25.640000000000001,25.640000000000001,-0.01
518,1782667560075,25.699999999999999,25.640000000000001,-0.01
519,1782667560708,25.899999999999999,27.100000000000001,-0.01
520,1782667560959,26.219999999999999,25.899999999999999,-0.01
521,1782667561359,25.960000000000001,26.539999999999999,-0.01
522,1782667561959,25.829999999999998,25.640000000000001,-0.01
523,1782667562443,25.899999999999999,26.789999999999999,-0.01
524,1782667562975,25.699999999999999,26.73,-0.01
525,1782667563308,26.030000000000001,25.77,-0.01
526,1782667563643,25.640000000000001,25.699999999999999,-0.01
527,1782667564208,25.699999999999999,25.699999999999999,-0.01
528,1782667564226,25.640000000000001,25.640000000000001,-0.01
529,1782667564809,25.640000000000001,25.640000000000001,-0.01
530,1782667565326,25.699999999999999,25.640000000000001,-0.01
531,1782667565608,25.699999999999999,25.57,-0.01
532,1782667565976,25.699999999999999,25.699999999999999,-0.01
533,1782667567075,25.699999999999999,25.699999999999999,-0.01
534,1782667567660,25.77,25.77,-0.01
535,1782667568009,25.77,25.699999999999999,-0.01
536,1782667568292,25.77,25.699999999999999,-0.01
537,1782667568793,25.829999999999998,25.640000000000001,-0.01
538,1782667569359,25.77,25.77,-0.01
539,1782667570276,25.77,25.699999999999999,-0.01
540,1782667571042,25.829999999999998,25.77,-0.01
541,1782667571475,25.77,25.77,-0.01
542,1782667572092,25.77,25.77,-0.01
543,1782667699995,26.09,26.600000000000001,-0.01
544,1782667700528,26.09,26.600000000000001,-0.01
545,1782667700694,26.09,26.600000000000001,-0.01
546,1782667701227,26.09,26.600000000000001,-0.01
547,1782667701411,26.149999999999999,26.66,-0.01
548,1782667701978,26.09,26.600000000000001,-0.01
549,1782667702145,26.149999999999999,26.539999999999999,-0.01
550,1782667702929,26.09,26.600000000000001,-0.01
551,1782667703161,26.149999999999999,26.66,-0.01
552,1782667703511,26.149999999999999,26.600000000000001,-0.01
553,1782667703895,26.149999999999999,26.600000000000001,-0.01
554,1782667704677,26.149999999999999,26.600000000000001,-0.01
555,1782667705078,26.149999999999999,26.600000000000001,-0.01
556,1782667705512,26.149999999999999,26.66,-0.01
557,1782667706412,26.149999999999999,26.73,-0.01
558,1782667706944,26.149999999999999,26.600000000000001,-0.01
559,1782667708262,26.149999999999999,26.73,-0.01
560,1782667708696,26.219999999999999,26.600000000000001,-0.01
561,1782667709461,26.149999999999999,26.600000000000001,-0.01
562,1782667709928,26.149999999999999,26.66,-0.01
563,1782667710311,26.219999999999999,26.66,-0.01
