index,date,REGEN_BRAKE_STATE,1,2,3,4,5,6,7
653,1765218808524,0,0,0,0,0,0,0,0
654,1765218808925,0,0,0,0,0,0,0,0
655,1765218809241,0,0,0,0,0,0,0,0
656,1765218809641,0,0,0,0,0,0,0,0
657,1765218809974,0,0,0,0,0,0,0,0
658,1765218810107,0,0,0,0,0,0,0,0
659,1765218810391,0,0,0,0,0,0,0,0
660,1765218810791,0,0,0,0,0,0,0,0
661,1765218811108,0,0,0,0,0,0,0,0
662,1765218811541,0,0,0,0,0,0,0,0
663,1765218811858,0,0,0,0,0,0,0,0
664,1765218811991,0,0,0,0,0,0,0,0
665,1765218812274,0,0,0,0,0,0,0,0
666,1765218812741,0,0,0,0,0,0,0,0
667,1765218813025,0,0,0,0,0,0,0,0
668,1765218813142,0,0,0,0,0,0,0,0
669,1765218813492,0,0,0,0,0,0,0,0
670,1765218813907,0,0,0,0,0,0,0,0
671,1765218814192,0,0,0,0,0,0,0,0
672,1765218814624,0,0,0,0,0,0,0,0
673,1765218815424,0,0,0,0,0,0,0,0
674,1765218815574,0,0,0,0,0,0,0,0
675,1765218816341,0,0,0,0,0,0,0,0
676,1765218816641,0,0,0,0,0,0,0,0
677,1765218816791,0,0,0,0,0,0,0,0
678,1765218817091,0,0,0,0,0,0,0,0
679,1765218817575,0,0,0,0,0,0,0,0
680,1765218817875,0,0,0,0,0,0,0,0
681,1765218818024,0,0,0,0,0,0,0,0
682,1765218818358,0,0,0,0,0,0,0,0
683,1765218818791,0,0,0,0,0,0,0,0
684,1765218819124,0,0,0,0,0,0,0,0
685,1765218819291,0,0,0,0,0,0,0,0
686,1765218819591,0,0,0,0,0,0,0,0
687,1765218819741,0,0,0,0,0,0,0,0
688,1765218820024,0,0,0,0,0,0,0,0
689,1765218820775,0,0,0,0,0,0,0,0
690,1765218821258,0,0,0,0,0,0,0,0
691,1765218821691,0,0,0,0,0,0,0,0
692,1765218822024,0,0,0,0,0,0,0,0
693,1765218822174,0,0,0,0,0,0,0,0
694,1765218822458,0,0,0,0,0,0,0,0
695,1765218822958,0,0,0,0,0,0,0,0
696,1765218823258,0,0,0,0,0,0,0,0
697,1765218823392,0,0,0,0,0,0,0,0
698,1765218823675,0,0,0,0,0,0,0,0
699,1765218824124,0,0,0,0,0,0,0,0
700,1765218824408,0,0,0,0,0,0,0,0
701,1765218824858,0,0,0,0,0,0,0,0
702,1765218825139,0,0,0,0,0,0,0,0
703,1765218825274,0,0,0,0,0,0,0,0
704,1765218825590,0,0,0,0,0,0,0,0
705,1765218826007,0,0,0,0,0,0,0,0
706,1765218826308,0,0,0,0,0,0,0,0
707,1765218826758,0,0,0,0,0,0,0,0
708,1765218827141,0,0,0,0,0,0,0,0
709,1765218828208,0,0,0,0,0,0,0,0
710,1765218828324,0,0,0,0,0,0,0,0
711,1765218828607,0,0,0,0,0,0,0,0
712,1765218829041,0,0,0,0,0,0,0,0
713,1765218829324,0,0,0,0,0,0,0,0
714,1765218829740,0,0,0,0,0,0,0,0
715,1765218830090,0,0,0,0,0,0,0,0
716,1765218830207,0,0,0,0,0,0,0,0
717,1765218830475,0,0,0,0,0,0,0,0
718,1765218830908,0,0,0,0,0,0,0,0
719,1765218831191,0,0,0,0,0,0,0,0
720,1765218831641,0,0,0,0,0,0,0,0
721,1765218831941,0,0,0,0,0,0,0,0
722,1765218832058,0,0,0,0,0,0,0,0
723,1765218832357,0,0,0,0,0,0,0,0
724,1765218832774,0,0,0,0,0,0,0,0
725,1765218833074,0,0,0,0,0,0,0,0
726,1765218833524,0,0,0,0,0,0,0,0
727,1765218833808,0,0,0,0,0,0,0,0
