index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
423,1782580718392,0,0,110
424,1782580719641,0,0,110
425,1782580720057,0,0,110
426,1782580722222,0,0,110
427,1782580723788,0,0,110
428,1782580724853,0,0,110
429,1782580725603,0,0,110
430,1782580725886,0,0,110
431,1782580726435,0,0,110
432,1782580727151,0,0,110
433,1782580728101,0,0,110
434,1782580729232,0,0,110
435,1782580730215,0,0,110
436,1782580730732,0,0,110
437,1782580731797,0,0,110
438,1782580733412,0,0,110
439,1782580734478,0,0,110
440,1782580736077,0,0,110
441,1782580736693,0,0,110
442,1782580737126,0,0,110
443,1782580739457,0,0,110
444,1782580740307,0,0,110
445,1782580740590,0,0,110
446,1782580741039,0,0,110
447,1782580741923,0,0,110
448,1782580742338,0,0,110
449,1782580743155,0,0,110
450,1782580744154,0,0,110
451,1782580745086,0,0,110
452,1782580745686,0,0,110
453,1782580746135,0,0,110
454,1782580747101,0,0,110
455,1782580747984,0,0,110
456,1782580748600,0,0,110
457,1782580749033,0,0,110
458,1782580750234,0,0,110
459,1782580750649,1536,0,110
460,1782580751264,0,0,110
461,1782580751731,0,0,110
462,1782580752313,0,0,110
463,1782580753229,0,0,110
464,1782580754478,0,0,110
465,1782580754746,0,0,110
466,1782580755178,0,0,110
467,1782580755777,0,0,110
468,1782580756260,0,0,110
469,1782580757710,0,0,110
470,1782580758691,0,0,110
471,1782580759141,0,0,110
472,1782580759374,0,0,110
473,1782580759640,0,0,110
474,1782580760673,0,0,110
475,1782580761623,0,0,110
476,1782580762238,0,0,110
477,1782580762671,0,0,110
478,1782580763355,0,0,110
479,1782580763970,0,0,110
480,1782580764870,0,0,110
481,1782580765553,0,0,110
482,1782580767302,0,0,110
483,1782580767883,0,0,110
484,1782580769899,0,0,110
485,1782580770865,0,0,110
486,1782580771481,0,0,110
487,1782580771714,0,0,110
488,1782580772164,0,0,110
489,1782580773129,0,0,110
490,1782580774961,0,0,110
491,1782580775344,0,0,110
492,1782580775993,0,0,110
493,1782580776260,0,0,110
494,1782580776493,0,0,110
495,1782580776909,0,0,110
496,1782580777509,0,0,110
497,1782580777958,0,0,110
498,1782580779457,0,0,110
499,1782580780507,1,0,110
500,1782580781256,1,0,110
501,1782580782105,1,0,110
502,1782580782771,1,0,110
503,1782580783270,1,0,110
504,1782580783770,1,0,110
505,1782580784421,1,0,110
506,1782580785452,1,0,110
507,1782580785919,1,0,110
508,1782580786052,1,0,110
509,1782580786434,1,0,110
510,1782580787451,1,0,110
511,1782580788033,1,0,110
512,1782580788333,1,0,110
513,1782580789016,1,0,110
514,1782580789665,1,0,110
515,1782580790698,1,0,110
516,1782580791348,1,0,110
517,1782580792429,1,0,110
518,1782580793945,1,0,110
519,1782580794329,1,0,110
520,1782580794977,1,0,110
521,1782580795860,1,2304,110
522,1782580797243,1,0,110
523,1782580799373,1,0,110
524,1782580799756,1,0,110
525,1782580801639,1,0,110
526,1782580802488,1,0,110
527,1782580802821,1,0,110
528,1782580803503,1,0,110
529,1782580804153,1,0,110
530,1782580806134,1,0,110
531,1782580806768,1,0,110
532,1782580808333,1,0,110
533,1782580809465,1,0,110
534,1782580811064,1,0,110
535,1782580812114,1,0,110
536,1782580812496,1,0,110
537,1782580812696,1,0,110
538,1782580813012,1,0,110
539,1782580813645,1,0,110
540,1782580814028,1,0,110
541,1782580814694,1,0,110
542,1782580814911,1,0,110
543,1782580815210,1,0,110
544,1782580815643,1,0,110
545,1782580816276,1,0,0
546,1782580817259,1,0,0
547,1782580817841,1,0,0
548,1782580818258,1,0,0
549,1782580818874,1,0,0
550,1782580819323,1,0,0
551,1782580820839,1,0,0
552,1782580821822,1,0,0
553,1782580822205,1,0,0
554,1782580822787,1,0,0
555,1782580823403,1,0,0
556,1782580824952,1,0,0
557,1782580825551,1,0,0
558,1782580825951,1,0,110
559,1782580828166,1,0,110
560,1782580829148,1,0,110
561,1782580829498,1,0,110
562,1782580830014,1,0,110
563,1782580831047,1,0,110
564,1782580832579,1,0,110
565,1782580833029,1,0,110
566,1782580833661,1,0,110
567,1782580834061,0,0,110
568,1782580834561,0,0,110
569,1782580835626,0,0,110
570,1782580836692,1,0,110
571,1782580837142,1,0,110
572,1782580837575,1,0,110
573,1782580838124,1,0,110
574,1782580838574,1,0,110
575,1782580840106,0,0,110
576,1782580841072,0,0,110
577,1782580841488,0,0,110
578,1782580841655,0,0,110
579,1782580841971,0,0,110
580,1782580843020,0,0,110
581,1782580843753,0,0,110
582,1782580844002,0,0,110
583,1782580844303,0,0,110
584,1782580844722,0,0,110
585,1782580845368,0,0,110
586,1782580845751,0,0,110
587,1782580847266,0,0,110
588,1782580848233,0,0,110
589,1782580848982,0,0,110
590,1782580849814,0,0,110
591,1782580850914,0,0,110
592,1782580851280,0,0,110
593,1782580851830,0,0,110
594,1782580852779,0,0,110
595,1782580853145,0,0,110
596,1782580854611,0,0,110
597,1782580855093,0,0,110
598,1782580856010,0,0,110
599,1782580856526,0,0,110
600,1782580856959,0,0,110
601,1782580898959,0,0,0
602,1782580899774,0,0,0
603,1782580900591,0,0,0
604,1782580900675,0,0,0
605,1782580901441,0,0,0
606,1782580902306,0,0,0
607,1782580902606,0,0,0
608,1782580905470,0,0,0
609,1782580905803,0,0,0
610,1782580906086,0,0,0
611,1782580906418,0,0,0
612,1782580906802,0,0,0
613,1782580907084,0,0,0
614,1782580907602,0,0,0
615,1782580907867,0,0,0
616,1782580908500,0,0,0
617,1782580908850,0,0,0
618,1782580909166,0,0,0
619,1782580909699,0,0,0
620,1782580910049,0,0,0
621,1782580911481,0,0,0
622,1782580911814,0,0,0
623,1782580912664,0,0,0
624,1782580913047,0,0,0
625,1782580913396,0,0,0
626,1782581234291,0,0,110
627,1782581235407,0,0,110
628,1782581235757,1,0,110
629,1782581236722,1,0,110
630,1782581237305,1,0,110
631,1782581237721,1,0,110
632,1782581238321,1,0,110
633,1782581238704,1,0,110
634,1782581239220,1,0,110
635,1782581239686,1,0,110
636,1782581240236,1,0,110
637,1782581240686,1,0,110
638,1782581242134,1,0,110
639,1782581242501,1,0,110
640,1782581243467,1,0,110
641,1782581244765,1,0,110
642,1782581245715,1,0,110
643,1782581246530,1,0,110
644,1782581246930,1,0,110
645,1782581247979,1,0,110
646,1782581248862,1,0,110
647,1782581249495,1,0,110
648,1782581250560,1,0,110
649,1782581250944,1,0,110
650,1782581251093,1,0,110
651,1782581251510,1,0,110
652,1782581252142,1,0,110
653,1782581253192,1,0,110
654,1782581253691,1,0,110
655,1782581254074,2,0,110
656,1782581254724,1,0,110
657,1782581255073,1,0,110
658,1782581257022,1,0,110
659,1782581257638,1,0,110
660,1782581258038,1,0,110
661,1782581258271,1,0,110
662,1782581258604,1,0,110
663,1782581259670,1,0,0
664,1782581260219,1,0,0
665,1782581261219,1,0,0
666,1782581261834,1,0,0
667,1782581262301,1,0,0
668,1782581262850,1,0,0
669,1782581263434,1,0,0
670,1782581263899,1,0,0
671,1782581266447,1,0,0
672,1782581267496,1,0,0
673,1782581267863,1,0,0
674,1782581267946,1,0,0
675,1782581269328,1,0,0
676,1782581269728,1,0,110
677,1782581270544,1,0,110
678,1782581271509,1,0,110
679,1782581271959,1,0,110
680,1782581274124,1,0,110
681,1782581275040,1,0,110
682,1782581275590,1,0,110
683,1782581275989,1,0,110
684,1782581277005,1,0,110
685,1782581277904,1,0,110
686,1782581278487,1,0,110
687,1782581278953,1,0,110
688,1782581279903,1,0,110
689,1782581280452,1,0,110
690,1782581281484,1,0,110
691,1782581282117,1,0,110
692,1782581283016,1,0,110
693,1782581284066,1,0,110
694,1782581285681,1,0,110
695,1782581286747,1,0,110
696,1782581287413,1,0,110
697,1782581288329,1,0,110
698,1782581289378,1,0,110
699,1782581289695,1,0,110
700,1782581290344,1,0,110
701,1782581290927,1,0,110
702,1782581291959,1,0,110
703,1782581292509,1,0,110
704,1782581293608,1,0,110
705,1782581294274,1,0,110
706,1782581295240,1,0,110
707,1782581296205,1,2304,110
708,1782581296572,1,0,110
709,1782581296971,1,0,110
710,1782581297055,1,0,110
711,1782581297421,1,0,110
712,1782581298437,1,0,0
