index,date,ECU_MODE
260,1782580590867,1
261,1782580591284,1
262,1782580591817,1
263,1782580592283,1
264,1782580592536,1
265,1782580592702,1
266,1782580593132,1
267,1782580593714,1
268,1782580594781,1
269,1782580595379,1
270,1782580596479,1
271,1782580597111,1
272,1782580598043,1
273,1782580599026,1
274,1782580600059,1
275,1782580600591,1
276,1782580601624,1
277,1782580602091,1
278,1782580602240,1
279,1782580602640,1
280,1782580603639,1
281,1782580605154,1
282,1782580605554,1
283,1782580606520,1
284,1782580606969,1
285,1782580607053,1
286,1782580607436,1
287,1782580608435,1
288,1782580608751,1
289,1782580609700,1
290,1782580610549,1
291,1782580610999,1
292,1782580611582,1
293,1782580612531,1
294,1782580613231,1
295,1782580613914,1
296,1782580614231,1
297,1782580614880,1
298,1782580615878,1
299,1782580617461,1
300,1782580619709,1
301,1782580620741,1
302,1782580621706,1
303,1782580622739,1
304,1782580623722,1
305,1782580624638,1
306,1782580625687,1
307,1782580626869,1
308,1782580627335,1
309,1782580627952,1
310,1782580629500,1
311,1782580629917,1
312,1782580630932,1
313,1782580631215,1
314,1782580631482,1
315,1782580631881,1
316,1782580632764,1
317,1782580633164,1
318,1782580633513,1
319,1782580633713,1
320,1782580633946,1
321,1782580634896,1
322,1782580635679,1
323,1782580636211,1
324,1782580636544,1
325,1782580637476,1
326,1782580639026,1
327,1782580639442,1
328,1782580640025,1
329,1782580640424,1
330,1782580641024,1
331,1782580641374,1
332,1782580641939,1
333,1782580643022,1
334,1782580643322,1
335,1782580643538,1
336,1782580644588,1
337,1782580645004,1
338,1782580645537,1
339,1782580646170,1
340,1782580647219,1
341,1782580648785,1
342,1782580649200,1
343,1782580649833,1
344,1782580650765,1
345,1782580652481,1
346,1782580653130,1
347,1782580653763,1
348,1782580654164,1
349,1782580654779,1
350,1782580655228,1
351,1782580655496,1
352,1782580655728,1
353,1782580656344,1
354,1782580656760,1
355,1782580658692,1
356,1782580659608,1
357,1782580660041,1
358,1782580660191,1
359,1782580660907,1
360,1782580661806,1
361,1782580662239,1
362,1782580662789,1
363,1782580663105,1
364,1782580664054,1
365,1782580665537,1
366,1782580666020,1
367,1782580666569,1
368,1782580667052,1
