index,date,DISTANCE_P_ODOM,DISTANCE_T_ODOM
429,1782580720340,1126,0
430,1782580721274,1126,0
431,1782580722355,1126,0
432,1782580723938,1126,0
433,1782580724986,1126,0
434,1782580726569,1126,0
435,1782580727301,1126,0
436,1782580728234,1126,0
437,1782580728883,1126,0
438,1782580729866,1126,0
439,1782580730315,1126,0
440,1782580730398,1126,0
441,1782580730848,1126,0
442,1782580731431,1126,0
443,1782580731914,1126,0
444,1782580732530,1126,0
445,1782580732729,1126,0
446,1782580733046,1126,0
447,1782580734162,1126,0
448,1782580735744,1126,0
449,1782580736810,1126,0
450,1782580738441,1126,0
451,1782580739108,1126,0
452,1782580740706,1126,0
453,1782580741622,1126,0
454,1782580742022,1126,0
455,1782580743855,1126,0
456,1782580744320,1126,0
457,1782580745836,1126,0
458,1782580746784,1126,0
459,1782580747202,1126,0
460,1782580748083,1126,0
461,1782580748733,1126,0
462,1782580749116,1126,0
463,1782580749366,1126,0
464,1782580750349,1126,0
465,1782580751364,1126,0
466,1782580752947,1126,0
467,1782580753912,1126,0
468,1782580754379,1126,0
469,1782580754578,1126,0
470,1782580754861,1126,0
471,1782580755878,1126,0
472,1782580756827,1126,0
473,1782580757392,1126,0
474,1782580757842,1126,0
475,1782580758791,1126,0
476,1782580759474,1126,0
477,1782580759757,1126,0
478,1782580760307,1126,0
479,1782580760773,1126,0
480,1782580761406,1126,0
481,1782580761723,1126,0
482,1782580762338,1126,0
483,1782580762988,1126,0
484,1782580763454,1126,0
485,1782580764070,1126,0
486,1782580764554,1126,0
487,1782580764986,1126,0
488,1782580765652,1126,0
489,1782580766368,1126,0
490,1782580766586,1126,0
491,1782580766901,1126,0
492,1782580768050,1126,0
493,1782580768683,1126,0
494,1782580768984,1126,0
495,1782580769599,1126,0
496,1782580769998,1126,0
497,1782580770599,1126,0
498,1782580770998,1126,0
499,1782580771580,1126,0
500,1782580772780,1126,0
501,1782580774644,1126,0
502,1782580775061,1126,0
503,1782580776093,1126,0
504,1782580776343,1126,0
505,1782580776576,1126,0
506,1782580777609,1126,0
507,1782580779557,1126,0
508,1782580780206,1126,0
509,1782580782871,1128,0
510,1782580783870,1130,0
511,1782580784519,1132,0
512,1782580785152,1135,0
513,1782580785551,1136,0
514,1782580786152,1138,0
515,1782580787117,1142,0
516,1782580788150,1146,0
517,1782580788400,1147,0
518,1782580788700,1148,0
519,1782580790125,1152,0
520,1782580790415,1155,0
521,1782580790797,1156,0
522,1782580791798,1158,0
523,1782580793079,1166,0
524,1782580794045,1171,0
525,1782580794644,1175,0
526,1782580795077,1178,0
527,1782580795960,1185,0
528,1782580796927,1192,0
529,1782580799074,1210,0
530,1782580799457,1213,0
531,1782580800041,1219,0
532,1782580800356,1221,0
533,1782580801272,1229,0
534,1782580802637,1239,0
535,1782580802937,1242,0
536,1782580803171,1245,0
537,1782580803819,1251,0
538,1782580804286,1253,0
539,1782580805185,1262,0
540,1782580805785,1267,0
541,1782580806867,1275,0
542,1782580807516,1279,0
543,1782580808449,1286,0
544,1782580809116,1291,0
545,1782580810697,1304,0
546,1782580811181,1307,0
547,1782580811746,1312,0
548,1782580812196,1314,0
549,1782580812795,1318,0
550,1782580813728,1325,0
551,1782580814777,1332,0
552,1782580815010,1335,0
553,1782580815310,1337,0
554,1782580816376,1345,0
555,1782580817025,1352,0
556,1782580817342,1354,0
557,1782580817941,1358,0
558,1782580818974,1366,0
559,1782580820490,1379,0
560,1782580820939,1381,0
561,1782580821921,1389,0
562,1782580822305,1391,0
563,1782580822438,1394,0
564,1782580823503,1402,0
565,1782580824403,1410,0
566,1782580825669,1420,0
567,1782580826051,1423,0
568,1782580826618,1430,0
569,1782580826884,1432,0
570,1782580828849,1449,0
571,1782580829232,1452,0
572,1782580829598,1454,0
573,1782580830114,1460,0
574,1782580830681,1466,0
575,1782580831147,1468,0
576,1782580831746,1474,0
577,1782580832679,1482,0
578,1782580833312,1487,0
579,1782580833779,1490,0
580,1782580835277,1500,0
581,1782580835710,1502,0
582,1782580836276,1506,0
583,1782580836759,1508,0
584,1782580836859,1510,0
585,1782580837241,1512,0
586,1782580838291,1518,0
587,1782580839773,1527,0
588,1782580840206,1529,0
589,1782580841205,1533,0
590,1782580841754,1535,0
591,1782580842138,1536,0
592,1782580842721,1537,0
593,1782580843137,1538,0
594,1782580843853,1538,0
595,1782580844120,1538,0
596,1782580844403,1538,0
597,1782580844985,1538,0
598,1782580845468,1538,0
599,1782580846301,1538,0
600,1782580846918,1538,0
601,1782580847383,1538,0
602,1782580847949,1538,0
603,1782580848382,1538,0
604,1782580849515,1538,0
605,1782580849931,1538,0
606,1782580851048,1538,0
607,1782580851446,1538,0
608,1782580851896,1538,0
609,1782580852479,1538,0
610,1782580854777,1538,0
611,1782580855776,1538,0
612,1782580856608,1538,0
613,1782580899042,0,0
614,1782580899875,0,0
615,1782580899958,0,0
616,1782580900775,0,0
617,1782580901539,0,0
618,1782580904104,0,0
619,1782580904353,0,0
620,1782580905220,0,0
621,1782580905570,0,0
622,1782580905954,0,0
623,1782580906185,0,0
624,1782580906503,0,0
625,1782580907201,0,0
626,1782580907302,0,0
627,1782580907718,0,0
628,1782580908034,0,0
629,1782580908317,0,0
630,1782580908600,0,0
631,1782580911615,0,0
632,1782580911899,0,0
633,1782580912481,0,0
634,1782580912764,0,0
635,1782580913130,0,0
636,1782581235140,0,0
637,1782581235506,0,0
638,1782581235906,0,0
639,1782581237405,3,0
640,1782581238421,7,0
641,1782581238837,9,0
642,1782581238921,10,0
643,1782581239320,12,0
644,1782581240335,18,0
645,1782581241851,29,0
646,1782581242217,33,0
647,1782581242634,35,0
648,1782581243600,44,0
649,1782581244100,48,0
650,1782581245348,59,0
651,1782581245799,60,0
652,1782581246164,63,0
653,1782581246264,65,0
654,1782581246664,67,0
655,1782581247613,74,0
656,1782581249145,88,0
657,1782581249628,91,0
