index,ACCEL_X,ACCEL_Y,ACCEL_Z,1,2,3,4,5
282,1010,8085,-214,0,0,0,0,0
283,1008,8100,-179,0,0,0,0,0
284,996,8093,-197,0,0,0,0,0
285,1006,8083,-231,0,0,0,0,0
286,1001,8097,-246,0,0,0,0,0
287,990,8084,-220,0,0,0,0,0
288,1007,8092,-199,0,0,0,0,0
289,998,8079,-218,0,0,0,0,0
290,1012,8094,-252,0,0,0,0,0
291,1012,8097,-207,0,0,0,0,0
292,1008,8094,-212,0,0,0,0,0
293,988,8104,-185,0,0,0,0,0
294,998,8093,-202,0,0,0,0,0
295,1013,8092,-255,0,0,0,0,0
296,995,8090,-208,0,0,0,0,0
297,1001,8097,-196,0,0,0,0,0
298,1005,8096,-227,0,0,0,0,0
299,1002,8091,-233,0,0,0,0,0
300,1003,8084,-242,0,0,0,0,0
301,991,8090,-230,0,0,0,0,0
302,1004,8097,-187,0,0,0,0,0
303,994,8091,-240,0,0,0,0,0
304,990,8088,-226,0,0,0,0,0
305,986,8092,-215,0,0,0,0,0
306,1003,8080,-224,0,0,0,0,0
307,990,8082,-221,0,0,0,0,0
308,996,8086,-237,0,0,0,0,0
309,1004,8092,-212,0,0,0,0,0
310,999,8089,-214,0,0,0,0,0
311,996,8094,-216,0,0,0,0,0
312,992,8092,-216,0,0,0,0,0
313,1000,8081,-220,0,0,0,0,0
314,996,8091,-216,0,0,0,0,0
315,1004,8088,-234,0,0,0,0,0
316,1007,8088,-214,0,0,0,0,0
317,1000,8090,-190,0,0,0,0,0
318,994,8100,-246,0,0,0,0,0
319,1001,8088,-260,0,0,0,0,0
320,1008,8084,-200,0,0,0,0,0
321,999,8088,-197,0,0,0,0,0
322,997,8076,-202,0,0,0,0,0
323,1004,8090,-246,0,0,0,0,0
324,1002,8094,-224,0,0,0,0,0
325,991,8086,-202,0,0,0,0,0
326,996,8085,-200,0,0,0,0,0
327,1008,8094,-224,0,0,0,0,0
328,1000,8093,-224,0,0,0,0,0
329,996,8088,-210,0,0,0,0,0
330,1008,8084,-200,0,0,0,0,0
331,1000,8088,-218,0,0,0,0,0
332,998,8088,-226,0,0,0,0,0
333,993,8092,-214,0,0,0,0,0
334,992,8088,-204,0,0,0,0,0
335,998,8088,-216,0,0,0,0,0
336,1001,8089,-227,0,0,0,0,0
337,994,8090,-224,0,0,0,0,0
338,1004,8088,-210,0,0,0,0,0
339,998,8092,-218,0,0,0,0,0
340,1002,8091,-227,0,0,0,0,0
341,1000,8085,-218,0,0,0,0,0
342,1006,8096,-212,0,0,0,0,0
343,1001,8087,-205,0,0,0,0,0
344,996,8092,-220,0,0,0,0,0
345,999,8088,-214,0,0,0,0,0
346,1004,8090,-228,0,0,0,0,0
347,1006,8092,-224,0,0,0,0,0
348,997,8093,-226,0,0,0,0,0
349,995,8094,-218,0,0,0,0,0
350,995,8089,-219,0,0,0,0,0
351,994,8088,-216,0,0,0,0,0
352,1003,8085,-228,0,0,0,0,0
353,1003,8088,-212,0,0,0,0,0
354,1000,8090,-216,0,0,0,0,0
355,1000,8088,-205,0,0,0,0,0
356,1000,8092,-219,0,0,0,0,0
357,1006,8083,-220,0,0,0,0,0
358,1004,8090,-220,0,0,0,0,0
359,992,8098,-231,0,0,0,0,0
360,1008,8090,-224,0,0,0,0,0
361,1004,8090,-214,0,0,0,0,0
362,999,8094,-211,0,0,0,0,0
363,996,8086,-220,0,0,0,0,0
364,1002,8094,-222,0,0,0,0,0
365,1000,8090,-208,0,0,0,0,0
366,1008,8092,-219,0,0,0,0,0
367,1002,8090,-225,0,0,0,0,0
368,995,8094,-230,0,0,0,0,0
369,999,8089,-208,0,0,0,0,0
370,1000,8092,-214,0,0,0,0,0
371,999,8098,-220,0,0,0,0,0
372,995,8078,-226,0,0,0,0,0
373,998,8089,-215,0,0,0,0,0
374,1001,8086,-207,0,0,0,0,0
375,1004,8083,-211,0,0,0,0,0
376,998,8099,-223,0,0,0,0,0
377,993,8086,-216,0,0,0,0,0
378,1004,8085,-219,0,0,0,0,0
379,1000,8095,-210,0,0,0,0,0
380,998,8094,-220,0,0,0,0,0
381,994,8090,-215,0,0,0,0,0
382,1004,8085,-220,0,0,0,0,0
383,1000,8090,-220,0,0,0,0,0
384,1000,8091,-215,0,0,0,0,0
385,998,8092,-220,0,0,0,0,0
386,993,8088,-220,0,0,0,0,0
387,1002,8095,-216,0,0,0,0,0
388,1003,8092,-219,0,0,0,0,0
389,996,8093,-226,0,0,0,0,0
390,1006,8086,-222,0,0,0,0,0
391,1407,9296,-767,0,0,0,0,0
392,1033,7814,-192,0,0,0,0,0
393,971,8110,532,0,0,0,0,0
394,1148,8300,-167,0,0,0,0,0
395,972,8254,-158,0,0,0,0,0
396,920,7701,-383,0,0,0,0,0
397,936,8027,518,0,0,0,0,0
398,864,8266,-448,0,0,0,0,0
399,1032,8225,-24,0,0,0,0,0
400,998,8041,-122,0,0,0,0,0
401,1033,8044,-140,0,0,0,0,0
402,975,8128,-246,0,0,0,0,0
403,1015,8144,-231,0,0,0,0,0
404,1018,8049,-212,0,0,0,0,0
405,995,8076,-199,0,0,0,0,0
406,973,8123,-207,0,0,0,0,0
407,977,8094,-215,0,0,0,0,0
408,1005,8063,-213,0,0,0,0,0
409,1008,8115,-174,0,0,0,0,0
410,980,8101,-221,0,0,0,0,0
411,988,8069,-228,0,0,0,0,0
412,999,8104,-270,0,0,0,0,0
413,1008,8100,-195,0,0,0,0,0
414,999,8088,-163,0,0,0,0,0
415,997,8098,-192,0,0,0,0,0
416,985,8106,-228,0,0,0,0,0
417,994,8066,-232,0,0,0,0,0
418,996,8084,-218,0,0,0,0,0
419,990,8093,-198,0,0,0,0,0
420,994,8086,-213,0,0,0,0,0
