index,date,GYRO_X,GYRO_Y,GYRO_Z,1,2,3,4,5
199,1764700989825,5,-8,-1,0,0,0,0,0
200,1764700989842,6,-9,-1,0,0,0,0,0
201,1764700990075,6,-10,0,0,0,0,0,0
202,1764700990259,5,-9,-1,0,0,0,0,0
203,1764700990392,6,-8,-1,0,0,0,0,0
204,1764700990525,6,-9,-1,0,0,0,0,0
205,1764700990708,6,-9,-1,0,0,0,0,0
206,1764700990824,4,-10,-1,0,0,0,0,0
207,1764700990974,5,-8,-1,0,0,0,0,0
208,1764700991092,6,-10,-1,0,0,0,0,0
209,1764700991309,5,-9,-1,0,0,0,0,0
210,1764700991442,5,-7,-1,0,0,0,0,0
211,1764700991559,5,-9,0,0,0,0,0,0
212,1764700991659,6,-9,0,0,0,0,0,0
213,1764700991875,6,-10,-1,0,0,0,0,0
214,1764700992042,5,-9,0,0,0,0,0,0
215,1764700992342,5,-9,0,0,0,0,0,0
216,1764700992525,7,-9,0,0,0,0,0,0
217,1764700992642,5,-9,0,0,0,0,0,0
218,1764700992776,5,-9,0,0,0,0,0,0
219,1764700992908,5,-8,-1,0,0,0,0,0
220,1764700993092,5,-8,0,0,0,0,0,0
221,1764700993225,4,-9,-1,0,0,0,0,0
222,1764700993342,5,-8,0,0,0,0,0,0
223,1764700993459,5,-9,-1,0,0,0,0,0
224,1764700993675,7,-9,-1,0,0,0,0,0
225,1764700993776,5,-8,-1,0,0,0,0,0
226,1764700993942,6,-9,-1,0,0,0,0,0
227,1764700994025,6,-11,0,0,0,0,0,0
228,1764700994325,6,-10,-2,0,0,0,0,0
229,1764700994459,7,-9,0,0,0,0,0,0
230,1764700994575,5,-9,0,0,0,0,0,0
231,1764700994708,6,-9,0,0,0,0,0,0
232,1764700994892,5,-8,-1,0,0,0,0,0
233,1764700995025,4,-11,-1,0,0,0,0,0
234,1764700995159,6,-9,0,0,0,0,0,0
235,1764700995275,4,-9,1,0,0,0,0,0
236,1764700995475,5,-10,-1,0,0,0,0,0
237,1764700995592,4,-7,1,0,0,0,0,0
238,1764700995725,5,-9,0,0,0,0,0,0
239,1764700995825,5,-10,0,0,0,0,0,0
240,1764700996042,5,-10,0,0,0,0,0,0
241,1764700996209,5,-9,0,0,0,0,0,0
242,1764700996425,6,-9,-2,0,0,0,0,0
243,1764700996659,5,-9,0,0,0,0,0,0
244,1764700996742,7,-9,0,0,0,0,0,0
245,1764700996925,4,-9,-1,0,0,0,0,0
246,1764700997025,5,-9,0,0,0,0,0,0
