index,date,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_VOLTAGE,1,2,3,4
1144,1765222784639,3.32,3.28,79.3,0,0,0,0,0
1145,1765222786189,3.32,3.28,79.3,0,0,0,0,0
1146,1765222786321,3.32,3.28,79.3,0,0,0,0,0
1147,1765222787905,3.32,3.28,79.4,0,0,0,0,0
1148,1765222789655,3.32,3.29,79.4,0,0,0,0,0
1149,1765222791192,3.32,3.29,79.4,0,0,0,0,0
1150,1765222791338,3.32,3.29,79.4,0,0,0,0,0
1151,1765222792939,3.32,3.29,79.4,0,0,0,0,0
1152,1765222824455,3.33,3.29,79.4,33490,0,0,0,0
1153,1765222825974,3.33,3.29,79.5,0,0,0,0,0
1154,1765222827754,3.33,3.29,79.4,46,0,0,0,0
1155,1765222829506,3.33,3.29,79.4,46,0,0,0,0
1156,1765222831774,3.33,3.29,79.5,46,0,0,0,0
1157,1765222831789,3.33,3.29,79.4,45,0,0,0,0
1158,1765222832839,3.33,3.29,79.4,45,0,0,0,0
1159,1765222834672,3.33,3.29,79.4,45,0,0,0,0
1160,1765222836539,3.33,3.29,79.5,44,0,0,0,0
1161,1765222836739,3.33,3.29,79.5,44,0,0,0,0
