index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR
581,1782590329300,1,0,110
582,1782590331082,1,0,110
583,1782590332547,1,0,110
584,1782590332697,1,0,110
585,1782590332980,1,0,110
586,1782590334012,1,0,110
587,1782590334661,1,0,110
588,1782590334978,1,0,110
589,1782590335594,1,0,110
590,1782590336661,1,0,110
591,1782590338542,1,0,110
592,1782590339574,1,0,110
593,1782590339891,1,0,110
594,1782590340490,1,0,110
595,1782590341453,1,0,110
596,1782590342205,1,0,110
597,1782590342721,1,0,110
598,1782590343155,1,0,110
599,1782590343854,1,0,110
600,1782590344470,1,0,110
601,1782590345486,1,0,110
602,1782590346102,1,0,110
603,1782590346535,1,0,110
604,1782590349049,1,0,110
605,1782590349799,1,0,110
606,1782590350598,1,0,0
607,1782590351647,1,0,0
608,1782590352513,1,0,110
609,1782590352946,1,0,110
610,1782590353945,1,0,110
611,1782590354844,1,0,110
612,1782590355761,1,0,110
613,1782590357709,1,0,0
614,1782590358708,1,0,110
615,1782590360273,1,0,110
616,1782590360690,1,0,110
617,1782590361306,1,0,110
618,1782590361705,1,0,110
619,1782590361839,1,0,110
620,1782590362238,1,0,110
621,1782590362888,1,0,110
622,1782590364004,1,0,110
623,1782590364187,1,0,110
624,1782590364536,1,0,110
625,1782590365570,1,0,110
626,1782590366202,1,0,110
627,1782590367134,1,0,110
628,1782590368150,1,0,110
629,1782590370131,0,0,110
630,1782590370848,1,0,110
631,1782590372047,1,0,110
632,1782590372497,1,0,110
633,1782590373096,1,0,110
634,1782590374484,1,0,110
635,1782590374761,1,0,110
636,1782590375744,1,0,110
637,1782590376161,1,0,110
638,1782590376293,1,0,110
639,1782590377692,1,0,110
640,1782590379674,1,0,110
641,1782590380223,1,0,110
642,1782590380657,1,0,110
643,1782590381206,1,0,110
644,1782590382472,1,0,110
645,1782590384020,1,0,110
646,1782590384470,1,0,110
647,1782590385486,1538,2312,622
648,1782590385835,1,0,110
649,1782590386119,1,0,110
650,1782590386319,1,0,110
651,1782590386968,1,0,110
652,1782590387401,1,0,110
653,1782590388000,1,0,110
654,1782590388333,1,0,110
655,1782590388949,1536,2304,110
656,1782590389599,0,0,110
657,1782590389998,0,0,110
658,1782590390581,0,0,110
