index,date,ENERGY_R_MOTOR,OVERLOAD_R_MOTOR,TEMPERATURE1_R,TEMPERATURE2_R
367,1782590157527,0,0,0,0
368,1782590157844,0,0,0,0
369,1782590158194,0,0,0,0
370,1782590159076,0,0,0,0
371,1782590159276,0,0,0,0
372,1782590159526,0,0,0,0
373,1782590159826,0,0,0,0
374,1782590160208,0,0,0,0
375,1782590160542,0,0,0,0
376,1782590160841,0,0,0,0
377,1782590161142,0,0,0,0
378,1782590161357,0,0,0,0
379,1782590161790,0,0,10,0
380,1782590162107,0,0,10,0
381,1782590162473,0,0,10,0
382,1782590162740,0,0,10,0
383,1782590163073,0,0,10,0
384,1782590163506,0,0,10,0
385,1782590163705,0,0,10,0
386,1782590164705,0,0,74,0
387,1782590165621,0,0,126,0
388,1782590165904,0,0,126,0
389,1782590167336,0,0,126,0
390,1782590167702,0,0,168,0
391,1782590168052,0,0,168,0
392,1782590168885,0,0,168,0
393,1782590169301,0,0,168,0
394,1782590170700,0,0,202,0
395,1782590170982,0,0,202,0
396,1782590171915,0,0,230,0
397,1782590172298,0,0,230,0
398,1782590172648,0,0,230,0
399,1782590172964,0,0,230,0
400,1782590173747,0,0,253,0
401,1782590174047,0,0,253,0
402,1782590174547,0,0,253,0
403,1782590177028,0,0,272,0
404,1782590178060,0,0,287,0
405,1782590178610,0,0,287,0
406,1782590179659,0,0,301,0
407,1782590180375,0,0,301,0
408,1782590180825,0,0,301,0
409,1782590180991,0,0,301,0
410,1782590181324,0,0,301,0
411,1782590182040,0,0,313,0
412,1782590182674,0,0,313,0
413,1782590183106,0,0,313,0
414,1782590183373,0,0,313,0
415,1782590183639,0,0,313,0
416,1782590184671,0,0,323,0
417,1782590186520,0,0,332,0
418,1782590186954,1536,12288,332,0
419,1782590187819,0,0,340,0
420,1782590188085,0,0,340,0
421,1782590188668,0,0,340,0
422,1782590189035,0,0,340,0
423,1782590190417,0,0,346,0
424,1782590190600,0,0,346,0
425,1782590190899,0,0,346,0
426,1782590191965,0,0,352,0
427,1782590192615,0,0,352,0
428,1782590192915,0,0,352,0
429,1782590193597,0,0,352,0
430,1782590194629,0,0,356,0
431,1782590196577,0,0,360,0
432,1782590197228,0,0,360,0
433,1782590197961,0,0,364,0
434,1782590198110,0,0,364,0
435,1782590198743,0,0,364,0
436,1782590199192,0,0,364,0
437,1782590200225,0,0,366,0
438,1782590200758,0,0,366,0
439,1782590201807,0,0,368,0
440,1782590202439,0,0,368,0
441,1782590203388,0,0,368,0
442,1782590203988,0,0,370,0
443,1782590206786,0,0,372,0
444,1782590207985,0,0,374,0
445,1782590209134,0,0,374,0
446,1782590209683,0,0,376,0
447,1782590210633,0,0,376,0
448,1782590211015,0,0,376,0
449,1782590212314,0,0,378,0
450,1782590212764,0,0,378,0
451,1782590213230,0,0,378,0
452,1782590214163,0,0,379,0
453,1782590214995,0,0,379,0
454,1782590216078,0,0,379,0
455,1782590217143,0,0,379,0
456,1782590217626,0,0,379,0
457,1782590218709,0,0,379,0
458,1782590219358,0,0,379,0
459,1782590220324,0,0,379,0
460,1782590220942,0,0,379,0
461,1782590221390,0,0,379,0
462,1782590222956,0,0,379,0
463,1782590223655,0,0,379,0
464,1782590225270,0,0,379,0
465,1782590226319,0,0,379,0
466,1782590227935,0,0,379,0
467,1782590228585,0,0,379,0
468,1782590229633,0,0,379,0
469,1782590230216,0,0,379,0
470,1782590231271,0,0,379,0
471,1782590231835,0,0,379,0
472,1782590232165,0,0,379,0
473,1782590232814,0,0,379,0
474,1782590233830,0,0,379,0
475,1782590234096,0,0,379,0
