index,date,MODE_ID,TORQUE_GAIN_ID,ODOM_DISTANCE_P,ODOM_DISTANCE_T,1,2,3,4
410,1765224112336,0,0,133,0,0,0,0,0
411,1765224149968,1,10,0,0,0,0,0,0
412,1765224150252,1,10,0,0,0,0,0,0
413,1765224150560,1,10,0,0,0,0,0,0
414,1765224150839,1,10,0,0,0,0,0,0
415,1765224151120,1,10,0,0,0,0,0,0
416,1765224151519,1,10,0,0,0,0,0,0
417,1765224151803,1,10,0,0,0,0,0,0
418,1765224151919,1,10,0,0,0,0,0,0
419,1765224152253,1,10,0,0,0,0,0,0
420,1765224152670,1,10,0,0,0,0,0,0
421,1765224152970,1,10,0,0,0,0,0,0
422,1765224153353,1,10,0,0,0,0,0,0
423,1765224153686,1,10,0,0,0,0,0,0
424,1765224153786,1,10,0,0,0,0,0,0
425,1765224154103,1,10,0,0,0,0,0,0
426,1765224154519,1,10,0,0,0,0,0,0
427,1765224154837,1,10,0,0,0,0,0,0
428,1765224155252,1,10,0,0,0,0,0,0
429,1765224155569,1,10,0,0,0,0,0,0
430,1765224155686,1,10,0,0,0,0,0,0
431,1765224155969,1,10,0,0,0,0,0,0
432,1765224156420,1,10,0,0,0,0,0,0
433,1765224156719,1,10,0,0,0,0,0,0
434,1765224157119,1,10,0,0,0,0,0,0
435,1765224157585,1,10,0,0,0,0,0,0
436,1765224157869,1,10,0,0,0,0,0,0
437,1765224158319,1,10,0,0,0,0,0,0
438,1765224158602,1,10,0,0,0,0,0,0
439,1765224158736,1,10,0,0,0,0,0,0
440,1765224159085,1,10,0,0,0,0,0,0
441,1765224159486,1,10,0,0,0,0,0,0
442,1765224159819,1,10,0,0,0,0,0,0
443,1765224160236,1,10,0,0,0,0,0,0
444,1765224160520,1,10,0,0,0,0,0,0
445,1765224160652,1,10,0,0,0,0,0,0
446,1765224160985,1,10,0,0,0,0,0,0
447,1765224161493,1,10,0,0,0,0,0,0
448,1765224161904,1,10,0,0,0,0,0,0
449,1765224162201,1,10,0,0,0,0,0,0
450,1765224162688,1,10,0,0,0,0,0,0
451,1765224163118,1,10,0,0,0,0,0,0
452,1765224163402,1,10,0,0,0,0,0,0
453,1765224163852,1,10,0,0,0,0,0,0
454,1765224164136,1,10,0,0,0,0,0,0
455,1765224164268,1,10,0,0,0,0,0,0
456,1765224164619,1,10,0,0,0,0,0,0
457,1765224165053,1,10,0,0,0,0,0,0
458,1765224165536,1,10,0,0,0,0,0,0
459,1765224165819,1,10,0,0,0,0,0,0
460,1765224166285,1,10,0,0,0,0,0,0
461,1765224166754,1,10,0,0,0,0,0,0
462,1765224167035,1,10,0,0,0,0,0,0
463,1765224167486,1,10,0,0,0,0,0,0
