index,date,ERROR_SUM_S4,ERROR_SUM_S5,ERROR_SUM_S6
2665,1782669621924,0,0,0
2666,1782669622124,0,0,0
2667,1782669622590,0,0,0
2668,1782669622773,0,0,0
2669,1782669623056,0,0,0
2670,1782669623456,0,0,0
2671,1782669623924,0,0,0
2672,1782669624207,0,0,0
2673,1782669624506,0,0,0
2674,1782669624640,0,0,0
2675,1782669625123,0,0,0
2676,1782669625873,0,0,0
2677,1782669627007,0,0,0
2678,1782669628723,0,0,0
2679,1782669629090,0,0,0
2680,1782669629691,0,0,0
2681,1782669630140,0,0,0
2682,1782669630356,0,0,0
2683,1782669632590,0,0,0
2684,1782669633807,0,0,0
2685,1782669634707,0,0,0
2686,1782669638924,0,0,0
2687,1782669639157,0,0,0
2688,1782669639524,0,0,0
2689,1782669639942,0,0,0
2690,1782669642041,0,0,0
2691,1782669643041,0,0,0
2692,1782669644341,0,0,0
2693,1782669645391,0,0,0
2694,1782669645858,0,0,0
2695,1782669646358,0,0,0
2696,1782669646941,0,0,0
2697,1782669648457,0,0,0
2698,1782669649591,0,0,0
2699,1782669651374,0,0,0
2700,1782669651441,0,0,0
2701,1782669652374,0,0,0
2702,1782669653391,0,0,0
2703,1782669654407,0,0,0
2704,1782669654890,0,0,0
2705,1782669655992,0,0,0
2706,1782669656607,0,0,0
2707,1782669656709,0,0,0
2708,1782669657274,0,0,0
2709,1782669658193,0,0,0
2710,1782669659208,0,0,0
2711,1782669659791,0,0,0
2712,1782669660758,0,0,0
2713,1782669661791,0,0,0
2714,1782669662407,0,0,0
2715,1782669663407,0,0,0
2716,1782669664475,0,0,0
2717,1782669665524,0,0,0
2718,1782669666474,0,0,0
2719,1782669667914,0,0,0
2720,1782669668442,0,0,0
2721,1782669669357,0,0,0
2722,1782669670325,0,0,0
2723,1782669678874,0,0,0
2724,1782669679274,0,0,0
2725,1782669679724,0,0,0
2726,1782669680291,0,0,0
2727,1782669680424,0,0,0
2728,1782669681993,0,0,0
2729,1782669683525,0,0,0
2730,1782669684142,0,0,0
2731,1782669684557,0,0,0
2732,1782669685342,0,0,0
2733,1782669685557,0,0,0
2734,1782669685975,0,0,0
2735,1782669686478,0,0,0
2736,1782669688024,0,0,0
2737,1782669688191,0,0,0
2738,1782669688791,0,0,0
2739,1782669689058,0,0,0
2740,1782669689408,0,0,0
2741,1782669690658,0,0,0
2742,1782669691159,0,0,0
2743,1782669691460,0,0,0
2744,1782669691709,0,0,0
2745,1782669691912,0,0,0
2746,1782669692807,0,0,0
2747,1782669693791,0,0,0
2748,1782669694858,0,0,0
2749,1782669695409,0,0,0
2750,1782669695444,0,0,0
2751,1782669696074,0,0,0
2752,1782669696541,0,0,0
2753,1782669696641,0,0,0
