index,date,RIGHT_MOTOR_CURRENT
3100,1782670016812,0
3101,1782670017713,0
3102,1782670018346,0
3103,1782670019729,0
3104,1782670020229,0
3105,1782670020614,0
3106,1782670021580,0
3107,1782670023429,0
3108,1782670023813,0
3109,1782670025751,0
3110,1782670026763,4
3111,1782670027280,6
3112,1782670028313,2021
3113,1782670029330,1657
3114,1782670029830,1636
3115,1782670030230,1806
3116,1782670030897,1964
3117,1782670032480,1322
3118,1782670033496,1076
3119,1782670033947,1081
3120,1782670035463,887
3121,1782670036513,0
3122,1782670036730,0
3123,1782670037397,0
3124,1782670038046,0
3125,1782670039081,0
3126,1782670039732,6
3127,1782670041347,64538
3128,1782670042330,1450
3129,1782670042947,1238
3130,1782670044629,12
3131,1782670045279,562
3132,1782670045647,2
3133,1782670046646,1025
3134,1782670048180,1034
3135,1782670049063,0
3136,1782670049965,0
3137,1782670052247,0
3138,1782670052881,0
3139,1782670053280,0
3140,1782670053899,0
3141,1782670054813,0
3142,1782670055514,0
3143,1782670056013,0
3144,1782670056297,0
3145,1782670056564,0
3146,1782670057179,0
3147,1782670057897,0
3148,1782670058298,0
3149,1782670058681,0
3150,1782670058798,0
3151,1782670059463,0
3152,1782670059830,0
3153,1782670060864,0
3154,1782670062430,0
3155,1782670065031,0
3156,1782670066065,0
3157,1782670066613,0
3158,1782670067714,0
3159,1782670068130,0
3160,1782670068330,0
3161,1782670068663,0
3162,1782670069263,0
3163,1782670070315,0
3164,1782670070614,0
3165,1782670070848,0
3166,1782670071315,0
3167,1782670073096,0
3168,1782670073930,0
3169,1782670074747,0
3170,1782670074847,0
3171,1782670075514,0
3172,1782670075648,0
3173,1782670076496,0
3174,1782670076797,0
3175,1782670078213,0
3176,1782670078547,0
3177,1782670080015,0
3178,1782670080280,0
3179,1782670080631,0
3180,1782670080980,0
3181,1782670081230,0
3182,1782670081763,0
3183,1782670082082,0
3184,1782670082414,0
3185,1782670082731,0
3186,1782670083047,0
3187,1782670083397,0
3188,1782670083897,0
3189,1782670084163,0
3190,1782670084447,0
3191,1782670084764,0
3192,1782670085014,0
3193,1782670085363,0
3194,1782670085697,0
3195,1782670086564,4
3196,1782670086847,7
3197,1782670087697,1094
3198,1782670088131,1104
3199,1782670088497,1266
3200,1782670088748,1307
3201,1782670088981,1333
3202,1782670090347,1369
3203,1782670091280,1366
3204,1782670092147,1358
3205,1782670092547,1339
3206,1782670093180,1360
3207,1782670093414,0
3208,1782670094080,10
3209,1782670094731,373
3210,1782670095097,984
3211,1782670096697,1210
3212,1782670097364,1060
3213,1782670097765,0
3214,1782670098947,0
3215,1782670100047,0
3216,1782670100981,0
3217,1782670101597,0
3218,1782670102631,0
3219,1782670103097,0
3220,1782670103182,0
3221,1782670103630,0
3222,1782670104230,0
3223,1782670105282,0
3224,1782670105548,0
3225,1782670105815,0
3226,1782670106897,0
3227,1782670108847,0
3228,1782670109914,0
3229,1782670111465,0
3230,1782670112431,0
3231,1782670112814,0
3232,1782670114097,0
3233,1782670115115,0
3234,1782670115898,0
3235,1782670116347,0
3236,1782670116898,0
3237,1782670117282,0
3238,1782670117665,0
3239,1782670118198,0
3240,1782670119132,0
3241,1782670119533,0
3242,1782670121399,0
3243,1782670122881,0
3244,1782670123315,0
3245,1782670123916,0
3246,1782670124334,0
3247,1782670125248,0
3248,1782670125847,0
3249,1782670126262,0
3250,1782670126899,0
3251,1782670127298,0
3252,1782670127431,0
3253,1782670127865,0
3254,1782670128431,0
3255,1782670128881,0
3256,1782670129532,0
3257,1782670130483,0
3258,1782670131115,0
3259,1782670132715,0
3260,1782670133764,0
3261,1782670135766,0
3262,1782670136765,0
3263,1782670136982,0
3264,1782670137265,0
3265,1782670138332,0
3266,1782670138948,0
3267,1782670139282,0
3268,1782670139916,0
3269,1782670140298,0
3270,1782670140933,0
3271,1782670141716,0
3272,1782670142198,0
3273,1782670142598,0
3274,1782670143532,0
3275,1782670144448,0
3276,1782670145798,0
3277,1782670147615,0
3278,1782670148948,0
3279,1782670149514,0
3280,1782670150515,0
3281,1782670152098,0
3282,1782670153132,0
3283,1782670154798,0
3284,1782670155798,0
3285,1782670156465,0
3286,1782670156748,0
3287,1782670157750,0
3288,1782670159315,0
3289,1782670160316,0
3290,1782670160681,0
3291,1782670161331,0
3292,1782670161581,0
3293,1782670162248,0
3294,1782670162898,0
3295,1782670163333,0
3296,1782670163717,0
3297,1782670163798,0
3298,1782670164882,0
3299,1782670165931,0
3300,1782670166464,0
3301,1782670167499,0
3302,1782670168181,0
3303,1782670169099,0
3304,1782670170098,0
3305,1782670170515,0
3306,1782670171032,0
3307,1782670171398,0
3308,1782670172265,0
3309,1782670174565,0
3310,1782670175465,0
3311,1782670176465,0
3312,1782670177066,0
3313,1782670178650,0
3314,1782670179699,0
3315,1782670181381,0
3316,1782670182366,0
3317,1782670183115,0
3318,1782670184000,0
3319,1782670184999,0
3320,1782670185365,0
3321,1782670186000,0
3322,1782670186549,0
3323,1782670187665,0
3324,1782670188148,0
3325,1782670188615,0
3326,1782670189249,0
3327,1782670190899,0
3328,1782670191615,0
3329,1782670192315,0
3330,1782670192616,0
3331,1782670192865,0
3332,1782670193549,0
3333,1782670193999,0
3334,1782670194565,0
3335,1782670194919,0
3336,1782670195482,0
3337,1782670196485,0
3338,1782670196921,0
3339,1782670198765,0
3340,1782670200715,0
3341,1782670201983,0
3342,1782670202299,0
3343,1782670202799,0
3344,1782670203182,0
3345,1782670204183,0
3346,1782670205716,0
3347,1782670206766,0
3348,1782670207199,0
3349,1782670207266,0
3350,1782670207732,0
3351,1782670208350,0
3352,1782670209433,0
3353,1782670210349,0
3354,1782670210932,0
3355,1782670211383,0
3356,1782670212549,0
3357,1782670212999,0
3358,1782670213633,13
3359,1782670215166,842
3360,1782670216200,1043
3361,1782670216982,853
3362,1782670218816,0
3363,1782670219249,0
3364,1782670219866,0
3365,1782670220466,0
3366,1782670221549,0
3367,1782670221716,0
3368,1782670222016,0
3369,1782670223166,0
3370,1782670223766,0
3371,1782670224682,0
3372,1782670225100,0
3373,1782670226616,0
3374,1782670226950,0
3375,1782670228149,0
3376,1782670228566,0
3377,1782670228950,0
3378,1782670229050,0
3379,1782670229367,0
3380,1782670229766,0
3381,1782670230733,0
3382,1782670231634,0
3383,1782670232283,0
3384,1782670233333,0
3385,1782670233783,0
3386,1782670233966,0
3387,1782670234300,0
3388,1782670234967,0
3389,1782670235667,0
3390,1782670236416,0
3391,1782670236651,0
3392,1782670237266,0
3393,1782670238334,0
3394,1782670238617,0
3395,1782670239200,0
3396,1782670239861,0
3397,1782670240303,0
3398,1782670240916,0
3399,1782670242568,0
3400,1782670242942,0
3401,1782670244483,0
3402,1782670245157,0
3403,1782670246738,0
3404,1782670247858,0
3405,1782670249389,0
3406,1782670250482,0
3407,1782670250826,0
3408,1782670251001,0
3409,1782670251980,0
3410,1782670254211,0
3411,1782670254614,0
3412,1782670255153,0
3413,1782670256418,0
3414,1782670257517,0
3415,1782670259034,0
3416,1782670260100,0
3417,1782670260400,0
3418,1782670261685,0
3419,1782670262383,0
3420,1782670263033,0
3421,1782670263917,0
3422,1782670264351,0
3423,1782670264933,0
3424,1782670265933,0
3425,1782670267002,0
3426,1782670268566,0
3427,1782670269183,0
3428,1782670271234,0
3429,1782670271817,0
3430,1782670272817,0
3431,1782670273435,0
3432,1782670274533,0
3433,1782670275100,0
3434,1782670276116,0
3435,1782670277067,0
3436,1782670278017,0
3437,1782670279017,0
3438,1782670279935,0
3439,1782670280883,0
3440,1782670281267,0
3441,1782670281884,0
3442,1782670282750,0
3443,1782670283217,0
3444,1782670284150,0
3445,1782670284500,0
3446,1782670284650,0
3447,1782670286383,0
3448,1782670287316,0
3449,1782670287900,0
3450,1782670288317,0
3451,1782670288985,0
3452,1782670289386,0
3453,1782670289567,0
3454,1782670289884,0
3455,1782670290917,0
3456,1782670291516,0
3457,1782670292450,7
3458,1782670295117,579
3459,1782670296218,64700
3460,1782670297734,0
3461,1782670298370,0
3462,1782670298767,0
3463,1782670299101,0
3464,1782670299650,0
3465,1782670301351,0
3466,1782670301883,0
3467,1782670302920,0
3468,1782670303367,0
3469,1782670305568,0
3470,1782670307484,0
3471,1782670307900,0
3472,1782670308518,0
3473,1782670308784,0
3474,1782670309384,0
3475,1782670310351,0
3476,1782670310801,0
3477,1782670311650,0
3478,1782670312550,0
3479,1782670314434,0
3480,1782670316851,0
3481,1782670317500,0
3482,1782670317968,0
3483,1782670318851,0
3484,1782670319484,0
3485,1782670320484,0
3486,1782670320902,0
3487,1782670321417,0
3488,1782670322484,0
3489,1782670323969,0
3490,1782670325018,0
3491,1782670326602,0
3492,1782670327703,0
3493,1782670328285,0
3494,1782670328618,0
3495,1782670329234,0
3496,1782670330268,0
3497,1782670330535,0
3498,1782670331200,0
3499,1782670332218,0
3500,1782670333751,0
3501,1782670334167,0
3502,1782670334718,0
3503,1782670335136,0
3504,1782670335418,0
3505,1782670336667,0
3506,1782670337084,0
3507,1782670338818,0
3508,1782670341153,0
3509,1782670342219,0
3510,1782670343701,0
3511,1782670344752,0
3512,1782670345052,0
3513,1782670345685,0
3514,1782670346586,0
3515,1782670348152,0
3516,1782670348635,0
3517,1782670349269,0
3518,1782670350217,0
3519,1782670350801,0
3520,1782670351218,0
3521,1782670351818,0
3522,1782670352251,0
3523,1782670352418,0
3524,1782670352735,0
3525,1782670353768,0
3526,1782670355334,0
3527,1782670355787,0
3528,1782670356352,0
3529,1782670357418,0
3530,1782670358368,0
3531,1782670359385,0
3532,1782670359601,0
3533,1782670360251,0
3534,1782670361184,0
3535,1782670362186,0
3536,1782670362502,0
3537,1782670363486,0
3538,1782670363835,0
3539,1782670366684,0
3540,1782670367501,0
3541,1782670368468,0
3542,1782670368951,0
3543,1782670369486,0
3544,1782670370469,0
3545,1782670371503,0
3546,1782670371720,0
3547,1782670372003,0
3548,1782670373118,9
3549,1782670373751,927
3550,1782670374068,716
3551,1782670374652,0
3552,1782670375335,0
3553,1782670375768,0
3554,1782670376435,0
3555,1782670376951,0
3556,1782670377335,0
3557,1782670377985,0
3558,1782670378385,0
3559,1782670379551,0
3560,1782670700791,0
3561,1782670701489,0
3562,1782670701607,0
3563,1782670702440,0
3564,1782670703240,0
3565,1782670703357,0
3566,1782670704207,0
3567,1782670704506,0
3568,1782670705923,0
3569,1782670706240,0
3570,1782670718806,0
3571,1782670719057,0
3572,1782670719324,0
3573,1782670719641,0
3574,1782670720257,0
3575,1782670720490,0
3576,1782670720823,0
3577,1782670721024,0
3578,1782670722441,0
3579,1782670722791,0
3580,1782670723390,0
3581,1782670724490,0
3582,1782670724757,0
3583,1782670725041,0
3584,1782670725424,0
3585,1782670725708,0
3586,1782670725940,0
3587,1782670726191,0
3588,1782670726840,0
3589,1782670727107,0
3590,1782670727557,0
3591,1782670727824,0
3592,1782670728107,0
3593,1782670728424,0
3594,1782670728857,0
3595,1782670729208,0
3596,1782670729557,0
3597,1782670729890,0
3598,1782670730190,0
3599,1782670731023,0
3600,1782670731224,0
3601,1782670731541,0
3602,1782670731890,0
3603,1782670732173,0
3604,1782670732474,0
3605,1782670732841,0
3606,1782670733090,0
3607,1782670733441,0
3608,1782670733525,0
3609,1782670733957,0
3610,1782670734273,0
3611,1782670736007,0
3612,1782670736274,0
3613,1782670739857,0
3614,1782670740108,0
3615,1782670740524,0
3616,1782670740807,0
3617,1782670740957,0
3618,1782670741307,0
3619,1782670741607,0
3620,1782670741912,0
3621,1782670742208,0
3622,1782670742474,0
3623,1782670742840,0
3624,1782670743191,0
3625,1782670743290,0
3626,1782670745991,0
3627,1782670748258,0
3628,1782670748524,0
3629,1782670748791,0
3630,1782670749107,0
3631,1782670751758,0
3632,1782670752657,0
3633,1782670754157,0
3634,1782670754524,0
3635,1782670754807,0
3636,1782670755157,0
3637,1782670755407,0
3638,1782670755608,0
3639,1782670755908,0
3640,1782670756275,0
3641,1782670756574,0
3642,1782670756874,0
3643,1782670760141,0
3644,1782670761857,0
3645,1782670762274,0
3646,1782670762557,0
3647,1782670762808,0
3648,1782670763041,0
3649,1782670763374,0
3650,1782670763658,0
3651,1782670764024,0
3652,1782670765507,0
3653,1782670767258,0
3654,1782670767591,0
3655,1782670768724,0
3656,1782670768991,0
3657,1782670769325,0
3658,1782670769658,0
3659,1782670769924,0
3660,1782670776925,0
3661,1782670777225,0
3662,1782670778357,0
3663,1782670778642,0
3664,1782670778975,0
3665,1782670779341,0
3666,1782670779708,0
3667,1782670779957,0
3668,1782670780074,0
3669,1782670780407,0
3670,1782670780774,0
3671,1782670781042,0
3672,1782670781393,0
3673,1782670781758,0
3674,1782670782008,0
3675,1782670782341,0
3676,1782670782524,0
3677,1782670782758,0
3678,1782670783175,0
3679,1782670783458,0
3680,1782670790741,0
3681,1782670791108,0
3682,1782670791474,0
3683,1782670791757,0
3684,1782670792058,0
3685,1782670792208,0
3686,1782670792541,0
3687,1782670792924,0
3688,1782670793158,0
3689,1782670793442,0
3690,1782670793824,0
3691,1782670794691,0
3692,1782670794959,0
3693,1782670795225,0
3694,1782670795808,0
3695,1782670796075,0
3696,1782670796391,0
3697,1782670796791,0
3698,1782670796974,0
3699,1782670799742,0
3700,1782670800108,0
3701,1782670800660,0
3702,1782670800959,0
3703,1782670801210,0
3704,1782670801626,0
3705,1782670801908,0
3706,1782670802092,0
3707,1782670802308,0
3708,1782670802625,0
3709,1782670802908,0
3710,1782670803275,0
3711,1782670803591,0
3712,1782670803941,0
3713,1782670804691,0
3714,1782670805008,0
3715,1782670805376,0
3716,1782670805642,0
3717,1782670808591,0
3718,1782670808908,0
3719,1782670809258,0
3720,1782670809725,0
3721,1782670810092,0
3722,1782670810392,0
3723,1782670810643,0
3724,1782670811075,0
3725,1782670811391,0
3726,1782670811926,0
3727,1782670812109,0
3728,1782670812508,0
3729,1782670816377,0
3730,1782670816691,0
3731,1782670817459,0
3732,1782670817841,0
3733,1782670818210,0
3734,1782670818525,0
3735,1782670818825,0
3736,1782670819358,0
3737,1782670819642,0
3738,1782670819975,0
3739,1782670821748,0
3740,1782670822142,0
3741,1782670822441,0
3742,1782670822793,0
3743,1782670823159,0
3744,1782670823676,0
3745,1782670824025,0
3746,1782670824458,0
3747,1782670824759,0
3748,1782670825043,0
3749,1782670825375,0
3750,1782670825692,0
3751,1782670825992,0
3752,1782670826275,0
3753,1782670827675,0
3754,1782670828025,0
3755,1782670828392,0
3756,1782670828642,0
3757,1782670828942,0
3758,1782670829709,0
3759,1782670830342,0
3760,1782670831042,0
3761,1782670831393,0
3762,1782670831591,0
3763,1782670831842,0
3764,1782670832158,0
3765,1782670832526,0
3766,1782670832842,0
3767,1782670835709,0
3768,1782670836342,0
3769,1782670837192,0
3770,1782670837526,0
3771,1782670837943,0
3772,1782670838259,0
3773,1782670839076,0
3774,1782670843142,0
3775,1782670843492,0
3776,1782670844925,0
3777,1782670845242,0
3778,1782670845492,0
3779,1782670846084,0
3780,1782670846942,0
3781,1782670847342,0
3782,1782670847626,0
3783,1782670847992,0
3784,1782670848292,0
3785,1782670848626,0
3786,1782670848759,0
3787,1782670849009,0
3788,1782670849308,0
3789,1782670849925,0
3790,1782670850209,0
3791,1782670850542,0
3792,1782670850825,0
3793,1782670851042,0
3794,1782670852509,0
3795,1782670853125,0
3796,1782670853459,0
3797,1782670857209,0
3798,1782670857559,0
3799,1782670857943,0
3800,1782670858242,0
3801,1782670858509,0
3802,1782670858994,0
3803,1782670859392,0
3804,1782670859709,0
3805,1782670859993,0
3806,1782670860276,0
3807,1782670861109,0
3808,1782670861410,0
3809,1782670861723,0
3810,1782670866943,7
3811,1782670867527,1151
3812,1782670867946,1148
3813,1782670868112,1265
3814,1782670868793,1182
3815,1782670869843,557
3816,1782670871410,892
3817,1782670872476,0
3818,1782670873377,0
3819,1782670874826,0
3820,1782670876359,0
3821,1782670876743,0
