index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
327,1782582592381,0,0,2
328,1782582592781,0,0,2
329,1782582594913,0,0,2
330,1782582595313,0,0,2
331,1782582596478,0,0,2
332,1782582597060,0,0,2
333,1782582597477,0,0,2
334,1782582598426,0,0,2
335,1782582598942,0,0,2
336,1782582599358,0,0,2
337,1782582600009,0,0,2
338,1782582600391,0,0,2
339,1782582601590,0,0,2
340,1782582602672,0,0,2
341,1782582604288,0,0,2
342,1782582604954,0,0,2
343,1782582605353,0,0,2
344,1782582606070,0,0,2
345,1782582606253,0,0,2
346,1782582606869,0,0,2
347,1782582608267,0,0,2
348,1782582608818,0,0,2
349,1782582609933,0,0,2
350,1782582611432,0,0,2
351,1782582612497,0,0,2
352,1782582614046,0,0,2
353,1782582615078,0,0,2
354,1782582615695,0,0,2
355,1782582616224,0,0,2
356,1782582616594,0,0,2
357,1782582617078,0,0,2
358,1782582617660,0,0,2
359,1782582617994,0,0,2
360,1782582618660,0,0,2
361,1782582619609,0,0,2
362,1782582620008,0,0,2
363,1782582620624,0,0,2
364,1782582621490,0,0,2
365,1782582622572,0,0,2
366,1782582622839,0,0,2
367,1782582623422,0,0,2
368,1782582623805,0,0,2
369,1782582624704,0,0,2
370,1782582625154,0,0,2
371,1782582625320,0,0,2
372,1782582625603,0,0,2
373,1782582626653,0,0,2
374,1782582627569,0,0,2
375,1782582628168,0,0,2
376,1782582629167,0,0,2
377,1782582631116,0,0,2
378,1782582632115,0,0,2
379,1782582632530,0,0,2
380,1782582633130,0,0,2
381,1782582633697,0,0,2
382,1782582635745,0,0,2
383,1782582636395,0,0,2
384,1782582637044,0,0,2
385,1782582638077,0,0,2
386,1782582638726,0,0,2
387,1782582639675,0,0,2
388,1782582640357,0,0,2
389,1782582641307,0,0,2
390,1782582643322,0,0,2
391,1782582643988,0,0,2
392,1782582644904,0,0,2
393,1782582645620,0,0,2
394,1782582646619,0,0,2
395,1782582646985,0,0,2
396,1782582647802,0,0,2
397,1782582648767,0,0,2
398,1782582649567,0,0,2
399,1782582649667,0,0,2
400,1782582650083,0,0,2
401,1782582651032,0,0,2
402,1782582651048,1536,2312,622
403,1782582652264,0,0,2
404,1782582653247,0,0,2
405,1782582654130,0,0,2
406,1782582655195,0,0,2
407,1782582655744,0,0,2
