index,date,ERROR_ID,STACK,CELL,VOLTAGE,1,2,3,4
186,1768832448936,2,1,4,0.0,0,0,0,0
187,1768832449519,2,1,196,0.0,0,0,0,0
188,1768832450084,2,1,4,0.0,0,0,0,0
189,1768832450435,2,1,4,0.0,0,0,0,0
190,1768832450668,2,1,4,0.0,0,0,0,0
191,1768832450752,2,1,4,0.0,0,0,0,0
192,1768832451335,2,1,4,0.0,0,0,0,0
193,1768832451602,2,1,4,0.0,0,0,0,0
194,1768832451920,2,1,4,0.0,0,0,0,0
195,1768832452185,2,1,4,0.0,0,0,0,0
196,1768832452271,2,1,4,0.0,0,0,0,0
197,1768832452486,2,1,4,0.0,0,0,0,0
198,1768832452852,2,1,4,0.0,0,0,0,0
199,1768832453401,2,1,4,0.0,0,0,0,0
200,1768832453719,2,1,4,0.0,0,0,0,0
201,1768832453752,2,1,4,0.0,0,0,0,0
202,1768832454003,2,1,4,0.0,0,0,0,0
203,1768832454335,2,1,4,0.0,0,0,0,0
204,1768832454686,2,1,4,0.0,0,0,0,0
205,1768832454937,2,1,4,0.0,0,0,0,0
206,1768832455382,2,1,4,0.0,0,0,0,0
207,1768832455519,2,1,4,0.0,0,0,0,0
208,1768832455852,2,1,4,0.0,0,0,0,0
209,1768832456167,2,1,4,0.0,0,0,0,0
210,1768832456405,2,1,4,0.0,0,0,0,0
211,1768832456753,2,1,4,0.0,0,0,0,0
212,1768832456969,2,1,4,0.0,0,0,0,0
213,1768832457269,2,1,4,0.0,0,0,0,0
214,1768832457567,2,1,4,0.0,0,0,0,0
215,1768832457617,2,1,4,0.0,0,0,0,0
216,1768832457853,2,1,4,0.0,0,0,0,0
217,1768832458186,2,1,4,0.0,0,0,0,0
218,1768832458485,2,1,4,0.0,0,0,0,0
219,1768832458784,2,1,4,0.0,0,0,0,0
220,1768832459068,2,1,4,0.0,0,0,0,0
221,1768832459335,2,1,4,0.0,0,0,0,0
222,1768832459669,2,1,4,0.0,0,0,0,0
223,1768832459918,2,1,4,0.0,0,0,0,0
224,1768832460000,2,1,4,0.0,0,0,0,0
225,1768832460235,2,1,4,0.0,0,0,0,0
226,1768832460587,2,1,4,0.0,0,0,0,0
227,1768832460818,2,1,4,0.0,0,0,0,0
228,1768832461134,2,1,4,0.0,0,0,0,0
229,1768832461402,2,1,4,0.0,0,0,0,0
230,1768832461484,2,1,4,0.0,0,0,0,0
231,1768832461718,2,1,4,0.0,0,0,0,0
232,1768832462052,2,1,4,0.0,0,0,0,0
233,1768832462335,2,1,4,0.0,0,0,0,0
234,1768832462601,2,1,4,0.0,0,0,0,0
235,1768832462902,2,1,4,0.0,0,0,0,0
236,1768832463189,2,1,4,0.0,0,0,0,0
237,1768832463852,2,1,4,0.0,0,0,0,0
238,1768832464136,2,1,4,0.0,0,0,0,0
239,1768832464467,2,1,4,0.0,0,0,0,0
240,1768832464752,2,1,4,0.0,0,0,0,0
241,1768832465054,2,1,4,0.0,0,0,0,0
242,1768832465384,2,1,4,0.0,0,0,0,0
243,1768832465618,2,1,4,0.0,0,0,0,0
244,1768832465951,2,1,4,0.0,0,0,0,0
245,1768832466523,2,1,4,0.0,0,0,0,0
246,1768832466523,18,1,4,0.0,0,0,0,0
247,1768832466819,18,1,4,0.0,0,0,0,0
248,1768832467085,18,1,4,0.0,0,0,0,0
249,1768832469251,2,1,1,0.0,0,0,0,0
250,1768832469584,2,1,1,0.0,0,0,0,0
251,1768832469751,2,1,1,0.0,0,0,0,0
252,1768832470004,2,1,1,0.0,0,0,0,0
253,1768832470318,2,1,1,0.0,0,0,0,0
254,1768832470568,2,1,1,0.0,0,0,0,0
255,1768832470901,2,1,1,0.0,0,0,0,0
256,1768832471252,2,1,1,0.0,0,0,0,0
257,1768832471534,2,1,1,0.0,0,0,0,0
258,1768832471851,2,1,1,0.0,0,0,0,0
259,1768832472134,2,1,1,0.0,0,0,0,0
260,1768832472435,2,1,1,0.0,0,0,0,0
261,1768832472801,2,1,1,0.0,0,0,0,0
262,1768832473118,2,1,1,0.0,0,0,0,0
263,1768832473401,2,1,1,0.0,0,0,0,0
264,1768832473734,2,1,1,0.0,0,0,0,0
265,1768832473985,2,1,1,0.0,0,0,0,0
266,1768832474336,2,1,1,0.0,0,0,0,0
267,1768832474653,2,1,1,0.0,0,0,0,0
268,1768832474918,2,1,1,0.0,0,0,0,0
269,1768832475218,2,1,1,0.0,0,0,0,0
270,1768832475485,2,1,1,0.0,0,0,0,0
271,1768832475784,2,1,1,0.0,0,0,0,0
272,1768832476050,2,1,1,0.0,0,0,0,0
273,1768832476136,2,1,1,0.0,0,0,0,0
274,1768832476368,2,1,1,0.0,0,0,0,0
275,1768832476719,2,1,1,0.0,0,0,0,0
276,1768832477001,2,1,1,0.0,0,0,0,0
277,1768832477269,2,1,1,0.0,0,0,0,0
278,1768832477602,2,1,1,0.0,0,0,0,0
279,1768832477635,2,1,1,0.0,0,0,0,0
280,1768832477871,2,1,1,0.0,0,0,0,0
281,1768832478327,2,1,1,0.0,0,0,0,0
282,1768832478552,2,1,1,0.0,0,0,0,0
283,1768832478802,2,1,1,0.0,0,0,0,0
284,1768832479133,2,1,1,0.0,0,0,0,0
285,1768832479383,2,1,1,0.0,0,0,0,0
286,1768832479669,2,1,1,0.0,0,0,0,0
287,1768832480252,98,1,1,0.0,0,0,0,0
288,1768832480585,2,1,1,0.0,0,0,0,0
289,1768832480869,2,1,1,0.0,0,0,0,0
290,1768832481152,2,1,1,0.0,0,0,0,0
291,1768832481484,2,1,1,0.0,0,0,0,0
292,1768832481720,2,1,1,0.0,0,0,0,0
293,1768832482053,2,1,1,0.0,0,0,0,0
294,1768832482401,2,1,1,0.0,0,0,0,0
295,1768832482671,2,1,1,0.0,0,0,0,0
296,1768832640015,2,1,1,0.0,0,0,0,0
297,1768832640031,2,1,1,0.0,0,0,0,0
298,1768832640264,0,0,0,0.0,0,0,0,0
299,1768832640615,2,1,1,0.0,0,0,0,0
300,1768832640983,2,1,1,0.0,0,0,0,0
301,1768832641232,2,1,1,0.0,0,0,0,0
302,1768832641816,2,1,1,0.0,0,0,0,0
303,1768832642099,2,1,1,0.0,0,0,0,0
304,1768832642449,2,1,1,0.0,0,0,0,0
305,1768832642683,2,1,1,0.0,0,0,0,0
306,1768832642767,2,1,1,0.0,0,0,0,0
307,1768832643049,2,1,1,0.0,0,0,0,0
308,1768832643367,2,1,1,0.0,0,0,0,0
309,1768832643615,2,1,1,0.0,0,0,0,0
310,1768832643950,2,1,1,0.0,0,0,0,0
311,1768832644199,2,1,1,0.0,0,0,0,0
312,1768832644864,2,1,1,0.0,0,0,0,0
313,1768832645133,2,1,1,0.0,0,0,0,0
314,1768832645749,2,1,1,0.0,0,0,0,0
315,1768832645849,2,1,1,0.0,0,0,0,0
316,1768832646630,2,1,1,0.0,0,0,0,0
317,1768832646967,2,1,1,0.0,0,0,0,0
318,1768832647331,2,1,1,0.0,0,0,0,0
319,1768832647564,2,1,1,0.0,0,0,0,0
320,1768832647865,2,1,1,0.0,0,0,0,0
321,1768832648414,2,1,1,0.0,0,0,0,0
322,1768832648932,2,12289,1,0.0,0,0,0,0
323,1768832648966,2,1,1,0.0,0,0,0,0
324,1768832649233,2,1,1,0.0,0,0,0,0
325,1768832649583,2,1,1,0.0,0,0,0,0
326,1768832650166,2,1,1,0.0,0,0,0,0
327,1768832651099,0,0,0,0.0,0,0,0,0
328,1768832651916,2,1,1,0.0,0,0,0,0
329,1768832652200,2,1,1,0.0,0,0,0,0
330,1768832652499,2,1,1,0.0,0,0,0,0
331,1768832653101,2,1,1,0.0,0,0,0,0
332,1768832653399,2,1,1,0.0,0,0,0,0
333,1768832655550,2,1,1,0.0,0,0,0,0
334,1768832655782,2,1,1,0.0,0,0,0,0
335,1768832656718,2,1,1,0.0,0,0,0,0
336,1768832657333,2,1,1,0.0,0,0,0,0
337,1768832657483,2,1,1,0.0,0,0,0,0
338,1768832657882,2,1,1,0.0,0,0,0,0
339,1768832658683,2,1,1,0.0,0,0,0,0
340,1768832661717,2,1,1,0.0,0,0,0,0
341,1768832662064,2,1,1,0.0,0,0,0,0
342,1768832662349,2,1,1,0.0,0,0,0,0
343,1768832662815,2,1,1,0.0,0,0,0,0
344,1768832663182,2,1,1,0.0,0,0,0,0
345,1768832663549,2,1,1,0.0,0,0,0,0
346,1768832663781,2,1,1,0.0,0,0,0,0
347,1768832664584,2,1,1,0.0,0,0,0,0
348,1768832664900,2,1,1,0.0,0,0,0,0
349,1768832665181,2,12297,1,0.0,0,0,0,0
350,1768832665799,1,1,1,0.0,0,0,0,0
351,1768832666065,2,9,1,0.0,0,0,0,0
352,1768832666250,2,1,1,0.0,0,0,0,0
353,1768832666950,2,1,1,0.0,0,0,0,0
354,1768832667249,2,1,1,0.0,0,0,0,0
355,1768832667399,2,1,1,0.0,0,0,0,0
356,1768832667818,2,1,1,0.0,0,0,0,0
