index,date,SLACE_1,SLAVE_2,SLAVE_3,SLAVE_4,1,2,3,4
222,1765229079496,0,0,0,0,0,0,0,0
223,1765229084563,0,0,0,0,0,0,0,0
224,1765229084600,0,0,0,0,0,0,0,0
225,1765229094385,0,0,0,0,0,0,0,0
226,1765229096155,0,0,0,0,0,0,0,0
227,1765229097905,0,0,0,0,0,0,0,0
228,1765229108753,0,12288,0,0,0,0,0,0
229,1765229113824,0,0,0,0,0,0,0,0
230,1765229115392,0,0,0,0,0,0,0,0
231,1765229115541,0,0,0,0,0,0,0,0
232,1765229120671,0,0,0,0,0,0,0,0
233,1765229123121,0,0,0,0,0,0,0,0
234,1765229124947,0,0,0,0,0,0,0,0
235,1765229128575,0,0,0,0,0,0,0,0
236,1765229132239,0,0,0,0,0,0,0,0
237,1765229132474,0,0,0,0,0,0,0,0
238,1765229135846,0,0,0,0,0,0,0,0
239,1765229140938,0,0,0,0,0,0,0,0
240,1765229141078,0,0,0,0,0,0,0,0
241,1765229142729,0,0,0,0,0,0,0,0
242,1765229144437,0,0,0,0,0,0,0,0
243,1765229146211,0,0,0,0,0,0,0,0
244,1765229147928,0,0,0,0,0,0,0,0
245,1765229150072,0,0,0,0,0,0,0,0
246,1765229158097,0,0,0,0,0,0,0,0
247,1765229159667,0,0,0,0,0,0,0,0
248,1765229167267,0,0,0,0,0,0,0,0
249,1765229169001,0,0,0,0,0,0,0,0
250,1765229170792,0,0,0,0,0,0,0,0
251,1765229172354,0,0,0,0,0,0,0,0
252,1765229172550,0,0,0,0,0,0,0,0
253,1765229180922,0,0,0,0,0,0,0,0
254,1765229182855,0,0,0,0,0,0,0,0
255,1765229185007,0,0,0,0,0,0,0,0
256,1765229187656,0,0,0,0,0,0,0,0
257,1765229188280,0,0,0,0,0,0,0,0
258,1765229192473,0,0,0,0,0,0,0,0
259,1765229193825,0,0,0,0,0,0,0,0
260,1765229193974,0,0,0,0,0,0,0,0
261,1765229195133,0,0,0,0,0,0,0,0
262,1765229197778,0,0,0,0,0,0,0,0
263,1765229204742,0,0,0,0,0,0,0,0
264,1765229206994,0,0,0,0,0,0,0,0
265,1765229210860,0,0,0,0,0,0,0,0
266,1765229211485,0,0,0,0,0,0,0,0
267,1765229212270,0,0,0,0,0,0,0,0
268,1765229214769,0,0,0,0,0,0,0,0
269,1765229215780,0,0,0,0,0,0,0,0
270,1765229218024,0,0,0,0,0,0,0,0
271,1765229219427,0,0,0,0,0,0,0,0
272,1765229220675,0,0,0,0,0,0,0,0
273,1765229222716,0,0,0,0,0,0,0,0
274,1765229223332,0,0,0,0,0,0,0,0
275,1765229225348,0,0,0,0,0,0,0,0
276,1765229226564,0,0,0,0,0,0,0,0
277,1765229226696,0,0,0,0,0,0,0,0
278,1765229230664,0,0,0,0,0,0,0,0
279,1765229231288,0,0,0,0,0,0,0,0
280,1765229231912,0,0,0,0,0,0,0,0
281,1765229233321,0,0,0,0,0,0,0,0
282,1765229233945,0,0,0,0,0,0,0,0
283,1765229247071,0,0,0,0,0,0,0,0
284,1765229249298,0,0,0,0,0,0,0,0
285,1765229249331,0,0,0,0,0,0,0,0
286,1765229250617,0,0,0,0,0,0,0,0
287,1765229252294,0,0,0,0,0,0,0,0
288,1765229252458,0,0,0,0,0,0,0,0
289,1765229254034,0,0,0,0,0,0,0,0
290,1765229267719,0,0,0,0,0,0,0,0
291,1765229274903,0,0,0,0,0,0,0,0
292,1765229279986,0,0,0,0,0,0,0,0
