index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECRASE_L
388,1782566181453,913,913,0
389,1782566182336,0,0,0
390,1782566182702,639,639,0
391,1782566183302,964,964,0
392,1782566183502,976,976,0
393,1782566184800,806,806,0
394,1782566185134,922,922,0
395,1782566185667,756,756,0
396,1782566186216,765,765,0
397,1782566186615,289,289,0
398,1782566189447,116,116,0
399,1782566189814,190,190,0
400,1782566190429,337,337,0
401,1782566190862,428,428,0
402,1782566191245,415,415,0
403,1782566192178,295,295,0
404,1782566193094,452,452,0
405,1782566193410,511,511,0
406,1782566194659,496,496,0
407,1782566195492,342,342,0
408,1782566196707,0,0,0
409,1782566198805,0,0,0
410,1782566199189,0,0,0
411,1782566200937,0,0,0
412,1782566201353,0,0,0
413,1782566201903,0,0,0
414,1782566202352,0,0,0
415,1782566202552,0,0,0
416,1782566202785,0,0,0
417,1782566203168,0,0,0
418,1782566204467,0,0,0
419,1782566205300,0,0,0
420,1782566206482,0,0,0
421,1782566206882,0,0,0
422,1782566207715,0,0,0
423,1782566208913,0,0,0
424,1782566209329,0,0,0
425,1782566209946,0,0,0
426,1782566210079,0,0,0
427,1782566211012,0,0,0
428,1782566211461,0,0,0
429,1782566212544,0,0,0
430,1782566213760,0,0,0
431,1782566214863,0,0,0
432,1782566215226,0,0,0
433,1782566216791,0,0,0
434,1782566216973,0,0,0
435,1782566217906,0,0,0
436,1782566218822,0,0,0
437,1782566219488,0,0,0
438,1782566219655,0,0,0
439,1782566220006,0,0,0
440,1782566220404,0,0,0
441,1782566221286,0,0,0
442,1782566222219,0,0,0
443,1782566223102,0,0,0
444,1782566223485,0,0,0
445,1782566224068,0,0,0
446,1782566225267,0,0,0
447,1782566226599,0,0,0
448,1782566227431,0,0,0
449,1782566228630,0,0,0
450,1782566229013,0,0,0
451,1782566229447,0,0,0
452,1782566229862,0,0,0
453,1782566230729,0,0,0
454,1782566231195,0,0,0
455,1782566231728,0,0,0
456,1782566232960,0,0,0
457,1782566235058,0,0,0
458,1782566235458,0,0,0
459,1782566237490,0,0,0
460,1782566237839,0,0,0
461,1782566239854,0,0,0
462,1782566240221,0,0,0
463,1782566241353,0,0,0
464,1782566241604,0,0,0
465,1782566243151,0,0,0
466,1782566243535,0,0,0
467,1782566244250,0,0,0
468,1782566244584,0,0,0
469,1782566245883,0,0,0
470,1782566246632,0,0,0
471,1782566247015,0,0,0
472,1782566247914,0,0,0
473,1782566248314,0,0,0
474,1782566249413,0,0,0
475,1782566250695,0,0,0
476,1782566251477,0,0,0
477,1782566252878,0,0,0
478,1782566253393,0,0,0
479,1782566253727,0,0,0
480,1782566254592,0,0,0
481,1782566255025,0,0,0
482,1782566257090,0,0,0
483,1782566259205,0,0,0
484,1782566259587,0,0,0
485,1782566260138,0,0,0
486,1782566260471,0,0,0
487,1782566261020,0,0,0
488,1782566261387,0,0,0
489,1782566262685,0,0,0
490,1782566262968,0,0,0
491,1782566263484,0,0,0
492,1782566265033,0,0,0
493,1782566265383,0,0,0
494,1782566266565,0,0,0
495,1782566267398,0,0,0
496,1782566268530,0,0,0
497,1782566268930,0,0,0
498,1782566269906,0,0,0
499,1782566270129,0,0,0
500,1782566271196,0,0,0
501,1782566271611,0,0,0
502,1782566273675,0,0,0
503,1782566274076,0,0,0
504,1782566274942,0,0,0
505,1782566275790,0,0,0
506,1782566276191,0,0,0
507,1782566277123,0,0,0
508,1782566277556,0,0,0
509,1782566277606,0,0,0
510,1782566278022,0,0,0
511,1782566278905,0,0,0
512,1782566279322,0,0,0
513,1782566280088,0,0,0
514,1782566280470,0,0,0
515,1782566281437,0,0,0
516,1782566283119,0,0,0
517,1782566283501,0,0,0
518,1782566285266,0,0,0
519,1782566285632,0,0,0
520,1782566286915,0,0,0
521,1782566287132,0,0,0
522,1782566287798,0,0,0
523,1782566288681,0,0,0
524,1782566289080,0,0,0
525,1782566289746,0,0,0
526,1782566289979,0,0,0
527,1782566290862,0,0,0
528,1782566291245,0,0,0
529,1782566293526,0,0,0
530,1782566293875,0,0,0
531,1782566294458,0,0,0
532,1782566294958,0,0,0
533,1782566295341,0,0,0
534,1782566297890,0,0,0
535,1782566298305,0,0,0
536,1782566300420,0,0,0
537,1782566302468,0,0,0
538,1782566302935,0,0,0
539,1782566303734,0,0,0
540,1782566304017,0,0,0
541,1782566304583,0,0,0
542,1782566304999,0,0,0
543,1782566305915,0,0,0
544,1782566306265,0,0,0
545,1782566306582,0,0,0
546,1782566307081,0,0,0
547,1782566307464,0,0,0
548,1782566308346,493,493,0
549,1782566308730,558,558,0
550,1782566309046,596,596,0
551,1782566309563,671,671,0
552,1782566310494,733,733,0
553,1782566310827,745,745,0
554,1782566311644,772,772,0
555,1782566312976,806,806,0
556,1782566315007,853,853,0
557,1782566315408,875,875,0
558,1782566317106,702,702,0
559,1782566317539,763,763,0
560,1782566318371,507,507,0
561,1782566319804,946,946,0
562,1782566320170,983,983,0
563,1782566321269,989,989,0
564,1782566321619,987,987,0
565,1782566322818,984,984,0
566,1782566323151,990,990,0
567,1782566323467,962,962,0
568,1782566324183,876,876,0
569,1782566324532,949,949,0
570,1782566326913,0,0,0
571,1782566327296,982,982,0
572,1782566329329,980,980,0
573,1782566329728,948,948,0
574,1782566331410,601,601,0
575,1782566331861,492,492,0
576,1782566332743,979,979,0
577,1782566333092,980,980,0
578,1782566333559,980,980,0
579,1782566333992,983,983,0
580,1782566334558,982,982,0
581,1782566334941,605,605,0
582,1782566335964,769,769,0
583,1782566336140,587,587,0
584,1782566337056,964,964,0
585,1782566338521,795,795,0
586,1782566338937,979,979,0
587,1782566339837,970,970,0
588,1782566340236,925,925,0
589,1782566340453,923,923,0
590,1782566340669,979,979,0
591,1782566341070,980,980,0
592,1782566342285,984,984,0
593,1782566342685,876,876,0
594,1782566342818,667,667,0
595,1782566343084,851,851,0
596,1782566343467,792,792,0
597,1782566344717,0,0,0
598,1782566345265,977,977,0
599,1782566345482,982,982,0
600,1782566345865,987,987,0
601,1782566347098,786,786,0
602,1782566347464,553,553,0
603,1782566347647,672,672,0
604,1782566348229,654,654,0
605,1782566349745,872,872,0
606,1782566351177,855,855,0
607,1782566351544,811,811,0
608,1782566351894,898,898,0
609,1782566352676,962,962,0
610,1782566353975,981,981,0
611,1782566356990,696,696,0
612,1782566357972,0,0,0
613,1782566359204,374,374,0
614,1782566360153,527,527,0
615,1782566360969,690,690,0
616,1782566361952,580,580,0
617,1782566362801,0,0,0
618,1782566363201,0,0,0
619,1782566364467,0,0,0
620,1782566365315,0,0,0
621,1782566365648,0,0,0
622,1782566366864,0,0,0
623,1782566367713,0,0,0
624,1782566368968,0,0,0
625,1782566370278,0,0,0
626,1782566371178,0,0,0
627,1782566371610,0,0,0
628,1782566372676,0,0,0
629,1782566375590,0,0,0
630,1782566375940,0,0,0
631,1782566376989,0,0,0
632,1782566377389,0,0,0
633,1782566378555,0,0,0
634,1782566378954,0,0,0
635,1782566379971,0,0,0
636,1782566380752,0,0,0
637,1782566381735,0,0,0
638,1782566382934,0,0,0
639,1782566383584,0,0,0
640,1782566383917,0,0,0
641,1782566384466,0,0,0
642,1782566385466,0,0,0
643,1782566385849,0,0,0
644,1782566386565,0,0,0
645,1782566387813,0,0,0
646,1782566388196,0,0,0
647,1782566388880,0,0,0
648,1782566388930,0,0,0
649,1782566390295,0,0,0
650,1782566391493,0,0,0
651,1782566392359,0,0,0
652,1782566392760,0,0,0
653,1782566393343,0,0,0
654,1782566394508,0,0,0
655,1782566395857,0,0,0
656,1782566396689,0,0,0
657,1782566397937,0,0,0
658,1782566399352,0,0,0
659,1782566399687,0,0,0
660,1782566399985,0,0,0
661,1782566401017,0,0,0
662,1782566401967,0,0,0
663,1782566403134,0,0,0
664,1782566404314,0,0,0
665,1782566404698,0,0,0
666,1782566406764,0,0,0
667,1782566411277,0,0,0
668,1782566411894,0,0,0
669,1782566412476,0,0,0
670,1782566413059,0,0,0
671,1782566413675,0,0,0
672,1782566414341,0,0,0
673,1782566416889,0,0,0
674,1782566417105,0,0,0
675,1782566417506,0,0,0
676,1782566417722,0,0,0
677,1782566418271,0,0,0
678,1782566418587,0,0,0
679,1782566418904,0,0,0
680,1782566424099,0,0,0
681,1782566426414,0,0,0
682,1782566426631,0,0,0
683,1782566427080,0,0,0
684,1782566427147,0,0,0
685,1782566427413,0,0,0
686,1782566427763,0,0,0
687,1782566427996,0,0,0
688,1782566428346,0,0,0
689,1782566428529,0,0,0
690,1782566430527,0,0,0
691,1782566430843,0,0,0
692,1782566435890,0,0,0
693,1782566436506,0,0,0
694,1782566437089,0,0,0
695,1782566437671,0,0,0
696,1782566438288,0,0,0
697,1782566438971,0,0,0
698,1782566443716,0,0,0
699,1782566444066,0,0,0
700,1782566444315,0,0,0
701,1782566444648,0,0,0
702,1782566445798,0,0,0
703,1782566446048,0,0,0
704,1782566446532,0,0,0
705,1782566446864,0,0,0
706,1782566447197,0,0,0
707,1782566448513,0,0,0
708,1782566448730,0,0,0
709,1782566449095,0,0,0
710,1782566449395,0,0,0
711,1782566449645,0,0,0
712,1782566450294,0,0,0
713,1782566450844,0,0,0
714,1782566451293,0,0,0
715,1782566451593,0,0,0
716,1782566452160,898,898,0
717,1782566452459,1026,1026,0
718,1782566452793,1083,1083,0
719,1782566454709,154,154,0
720,1782566455090,727,727,0
721,1782566455973,1183,1183,0
722,1782566456855,1297,1297,0
723,1782566457222,1126,1126,0
724,1782566459303,1164,1164,0
725,1782566459701,1233,1233,0
726,1782566460850,1201,1188,0
727,1782566461967,1470,1470,0
728,1782566462400,1410,1410,0
729,1782566463199,1410,1410,0
730,1782566463498,1467,1467,0
731,1782566464647,1416,1416,0
732,1782566464998,1386,1386,0
733,1782566465430,1389,1389,0
734,1782566465764,1422,1422,0
735,1782566466198,1350,1350,0
736,1782566467063,1408,1408,0
737,1782566467397,1428,1428,0
738,1782566467796,1462,1462,0
739,1782566468246,1462,1462,0
740,1782566468629,1471,1471,0
741,1782566469478,1468,1468,0
742,1782566469861,1450,1450,0
743,1782566470327,1465,1465,0
744,1782566470710,1476,1476,0
745,1782566471643,3266,3265,2208
746,1782566471992,1471,1471,0
747,1782566472842,1474,1474,0
748,1782566473725,1471,1471,0
749,1782566474140,1473,1473,0
750,1782566475889,1477,1477,0
751,1782566477139,1467,1467,0
752,1782566477421,1476,1476,0
753,1782566477987,1470,1470,0
754,1782566478387,1476,1476,0
755,1782566479303,1476,1474,0
756,1782566479969,1471,1471,0
757,1782566480485,1426,1426,0
758,1782566481701,1488,1488,0
759,1782566482400,1483,1483,0
760,1782566482518,420,420,0
761,1782566482917,1479,1479,0
762,1782566483816,1480,1480,0
763,1782566484199,1479,1479,0
764,1782566485048,1485,1485,0
765,1782566486281,1473,1473,0
766,1782566486630,1468,1468,0
767,1782566487263,355,355,0
768,1782566487363,17752,3152,0
769,1782566487746,0,0,0
770,1782566488912,0,0,0
771,1782566489244,0,0,0
772,1782566489494,0,0,0
773,1782566490394,1371,1371,0
774,1782566493408,1462,1462,0
775,1782566495473,1158,1158,0
776,1782566497621,279,279,0
777,1782566498004,169,169,0
778,1782566498904,694,694,0
779,1782566499253,699,699,0
780,1782566499786,1236,1236,0
781,1782566500135,1365,1365,0
782,1782566501001,1441,1441,0
783,1782566501434,1362,1362,0
