index,date,TORQUE_GAIN,TORQUE_DECREASE_R,TORQUE_DECREASE_L
550,1782566292010,10,0,0
551,1782566292460,10,0,0
552,1782566292826,10,0,0
553,1782566293143,10,0,0
554,1782566296008,10,0,0
555,1782566296706,10,0,0
556,1782566296906,10,0,0
557,1782566297841,10,0,0
558,1782566298672,10,0,0
559,1782566299038,10,0,0
560,1782566299288,10,0,0
561,1782566299521,10,0,0
562,1782566299937,10,0,0
563,1782566300786,10,0,0
564,1782566301186,10,0,0
565,1782566301569,10,0,0
566,1782566301819,10,0,0
567,1782566302002,10,0,0
568,1782566303284,10,0,0
569,1782566303700,10,0,0
570,1782566304283,10,0,0
571,1782566304483,10,0,0
572,1782566305399,10,0,0
573,1782566307464,10,0,0
574,1782566307880,10,0,0
575,1782566308247,10,0,0
576,1782566309962,10,0,0
577,1782566311294,10,0,0
578,1782566312094,10,0,0
579,1782566312493,10,0,0
580,1782566313326,10,0,0
581,1782566313942,10,0,0
582,1782566314192,10,0,0
583,1782566314559,10,0,0
584,1782566315425,10,0,0
585,1782566315757,10,0,0
586,1782566316207,10,0,0
587,1782566316640,10,0,0
588,1782566317872,10,0,0
589,1782566318288,10,0,0
590,1782566318722,10,0,0
591,1782566319004,10,0,0
592,1782566319388,10,0,0
593,1782566320887,10,0,0
594,1782566321985,10,0,0
595,1782566324981,10,0,0
596,1782566325298,10,0,0
597,1782566325681,10,0,0
598,1782566325898,10,0,0
599,1782566326447,10,0,0
600,1782566326814,10,0,0
601,1782566327712,10,0,0
602,1782566328396,10,0,0
603,1782566328828,10,0,0
604,1782566329244,10,0,0
605,1782566330112,10,0,0
606,1782566330544,10,0,0
607,1782566330811,10,0,0
608,1782566330912,10,0,0
609,1782566331360,10,0,0
610,1782566332260,10,0,0
611,1782566333458,10,0,0
612,1782566335324,10,0,0
613,1782566336506,10,0,0
614,1782566337505,10,0,0
615,1782566338122,10,0,0
616,1782566338488,10,0,0
617,1782566339387,10,0,0
618,1782566341835,10,0,0
619,1782566343850,10,0,0
620,1782566344266,10,0,0
621,1782566346298,10,0,0
