index,date,CONTROL_EVENT_FLAG_1,CONTROL_EVENT_FLAG_2
1172,1782566741899,0,5
1173,1782566743165,0,5
1174,1782566743581,0,5
1175,1782566744397,0,5
1176,1782566745646,0,5
1177,1782566746045,0,5
1178,1782566746129,0,5
1179,1782566746429,0,5
1180,1782566746828,0,5
1181,1782566747711,0,5
1182,1782566748144,0,5
1183,1782566748493,0,5
1184,1782566748660,0,5
1185,1782566748927,0,5
1186,1782566750425,0,5
1187,1782566750576,0,5
1188,1782566751041,0,5
1189,1782566751291,0,5
1190,1782566751658,0,5
1191,1782566753156,0,5
1192,1782566754605,0,5
1193,1782566754971,0,5
1194,1782566756087,0,5
1195,1782566756936,0,5
1196,1782566757319,0,5
1197,1782566759068,0,5
1198,1782566759484,0,5
1199,1782566760383,0,5
1200,1782566761599,0,5
1201,1782566762498,0,5
1202,1782566762865,0,5
1203,1782566763615,0,5
1204,1782566764047,0,5
1205,1782566765629,0,5
1206,1782566765846,0,5
1207,1782566766828,0,5
1208,1782566767195,0,5
1209,1782566768942,0,5
1210,1782566769842,0,5
1211,1782566770242,0,5
1212,1782566771107,0,5
1213,1782566771724,0,5
1214,1782566772463,0,5
1215,1782566773556,0,5
1216,1782566773873,0,5
1217,1782566776320,0,5
1218,1782566776686,0,5
1219,1782566778984,0,5
1220,1782566779401,0,5
1221,1782566780183,0,5
1222,1782566781749,0,5
1223,1782566782564,0,5
1224,1782566782931,0,5
1225,1782566783830,0,5
1226,1782566785995,0,5
1227,1782566786362,0,5
1228,1782566788060,0,5
1229,1782566788427,0,5
1230,1782566789342,0,5
1231,1782566790575,0,5
1232,1782566791524,0,5
1233,1782566791907,0,5
1234,1782566792156,0,5
1235,1782566792273,0,5
1236,1782566792639,0,5
1237,1782566793056,0,5
1238,1782566793888,0,5
1239,1782566794488,0,5
1240,1782566795071,0,5
1241,1782566795971,0,5
1242,1782566796353,0,5
1243,1782566796754,0,5
1244,1782566797058,0,5
1245,1782566797136,0,5
1246,1782566798450,0,5
1247,1782566798882,0,5
1248,1782566799649,0,5
1249,1782566800532,0,5
1250,1782566800947,0,5
1251,1782566802080,0,5
1252,1782566803262,0,5
1253,1782566803562,0,5
1254,1782566803895,0,5
1255,1782566804094,0,5
1256,1782566804944,0,5
1257,1782566806826,0,5
1258,1782566807076,0,5
1259,1782566808362,0,5
1260,1782566808591,0,5
1261,1782566808991,0,5
1262,1782566809323,0,5
1263,1782566809706,0,5
1264,1782566810090,0,5
1265,1782566810589,0,5
1266,1782566810956,0,5
1267,1782566811355,0,5
1268,1782566811755,0,5
1269,1782566812138,0,5
1270,1782566812454,0,5
1271,1782566813339,0,5
1272,1782566813772,0,5
1273,1782566814538,192,0
1274,1782566815504,192,0
1275,1782566816536,192,0
