index,date,SPEED_R_MOTOR,TORQUE_R_MOTOR,POWER_R_MOTOR,CURRENT_R_MOTOR,1,2,3,4
1237,1762970173944,0,0,0,0,0,0,0,0
1238,1762970174055,0,0,0,0,0,0,0,0
1239,1762970174285,0,0,0,0,0,0,0,0
1240,1762970174369,0,0,0,0,0,0,0,0
1241,1762970174585,0,0,0,0,0,0,0,0
1242,1762970174702,0,0,0,0,0,0,0,0
1243,1762970174802,0,0,0,0,0,0,0,0
1244,1762970174953,0,0,0,0,0,0,0,0
1245,1762970175036,0,0,0,0,0,0,0,0
1246,1762970175152,0,0,0,0,0,0,0,0
1247,1762970175253,0,0,0,0,0,0,0,0
1248,1762970175470,0,0,0,0,0,0,0,0
1249,1762970175603,0,0,0,0,0,0,0,0
1250,1762970175703,0,0,0,0,0,0,0,0
1251,1762970175802,0,0,0,0,0,0,0,0
1252,1762970175902,0,0,0,0,0,0,0,0
1253,1762970176104,0,0,0,0,0,0,0,0
1254,1762970176235,0,0,0,0,0,0,0,0
1255,1762970176352,0,0,0,0,0,0,0,0
1256,1762970176452,0,0,0,0,0,0,0,0
1257,1762970176568,0,0,0,0,0,0,0,0
1258,1762970176668,0,0,0,0,0,0,0,0
1259,1762970176784,0,0,0,0,0,0,0,0
1260,1762970176901,0,0,0,0,0,0,0,0
1261,1762970177018,0,0,0,0,0,0,0,0
1262,1762970177334,0,0,0,0,0,0,0,0
1263,1762970177668,0,0,0,0,0,0,0,0
1264,1762970177951,0,0,0,0,0,0,0,0
1265,1762970178017,0,0,0,0,0,0,0,0
1266,1762970178116,0,0,0,0,0,0,0,0
1267,1762970187040,0,0,0,0,0,0,0,0
1268,1762970190772,0,0,0,0,0,0,0,0
1269,1762970190956,0,0,0,0,0,0,0,0
1270,1762970191123,0,0,0,0,0,0,0,0
1271,1762970191438,0,0,0,0,0,0,0,0
1272,1762970191672,0,0,0,0,0,0,0,0
1273,1762970191789,0,0,0,0,0,0,0,0
1274,1762970191904,0,0,0,0,0,0,0,0
1275,1762970192104,0,0,0,0,0,0,0,0
1276,1762970192320,0,0,0,0,0,0,0,0
1277,1762970192420,0,0,0,0,0,0,0,0
1278,1762970192538,0,0,0,0,0,0,0,0
1279,1762970192770,0,0,0,0,0,0,0,0
1280,1762970193005,0,0,0,0,0,0,0,0
1281,1762970193086,0,0,0,0,0,0,0,0
1282,1762970193186,0,0,0,0,0,0,0,0
1283,1762970193303,0,0,0,0,0,0,0,0
1284,1762970193420,0,0,0,0,0,0,0,0
1285,1762970193537,0,0,0,0,0,0,0,0
1286,1762970193636,0,0,0,0,0,0,0,0
1287,1762970193736,0,0,0,0,0,0,0,0
1288,1762970194102,0,0,0,0,0,0,0,0
1289,1762970194202,0,0,0,0,0,0,0,0
1290,1762970194402,0,0,0,0,0,0,0,0
1291,1762970194518,0,0,0,0,0,0,0,0
1292,1762970194619,0,0,0,0,0,0,0,0
1293,1762970194887,0,0,0,0,0,0,0,0
1294,1762970195018,0,0,0,0,0,0,0,0
1295,1762970195102,0,0,0,0,0,0,0,0
1296,1762970195284,0,0,0,0,0,0,0,0
1297,1762970195385,0,0,0,0,0,0,0,0
1298,1762970195718,0,0,0,0,0,0,0,0
