index,date,BMS_MODE,BMS_ERROR,AIR_P,AIR_N,1,2,3,4
362,1762970231757,1,0,1,1,0,0,0,0
363,1762970232677,1,0,1,1,0,0,0,0
364,1762970233121,1,0,1,1,0,0,0,0
365,1762970233572,1,0,1,1,0,0,0,0
366,1762970234188,1,0,1,1,0,0,0,0
367,1762970234536,1,0,1,1,0,0,0,0
368,1762970235084,1,0,1,1,0,0,0,0
369,1762970235485,1,0,1,1,0,0,0,0
370,1762970235919,1,0,1,1,0,0,0,0
371,1762970236306,1,0,1,1,0,0,0,0
372,1762970236771,1,0,1,1,0,0,0,0
373,1762970237919,1,0,1,1,0,0,0,0
374,1762970239500,1,0,1,1,0,0,0,0
375,1762970240114,1,0,1,1,0,0,0,0
376,1762970240531,1,0,1,1,0,0,0,0
377,1762970240913,1,0,1,1,0,0,0,0
378,1762970241280,1,0,1,1,0,0,0,0
379,1762970242712,1,0,1,1,0,0,0,0
380,1762970243129,1,0,1,1,0,0,0,0
381,1762970243577,1,0,1,1,0,0,0,0
382,1762970245394,1,0,1,1,0,0,0,0
383,1762970245927,1,0,1,1,0,0,0,0
384,1762970246310,1,0,1,1,0,0,0,0
385,1762970247293,1,0,1,1,0,0,0,0
386,1762970247825,1,0,1,1,0,0,0,0
387,1762970248341,1,0,1,1,0,0,0,0
388,1762970248641,1,0,1,1,0,0,0,0
389,1762970249490,1,0,1,1,0,0,0,0
390,1762970250390,1,0,1,1,0,0,0,0
391,1762970250855,1,0,1,1,0,0,0,0
392,1762970251287,1,0,1,1,0,0,0,0
393,1762970251723,1,0,1,1,0,0,0,0
394,1762970253121,1,0,1,1,0,0,0,0
395,1762970253470,1,0,1,1,0,0,0,0
396,1762970254037,1,0,1,1,0,0,0,0
397,1762970254368,1,0,1,1,0,0,0,0
398,1762970254835,1,0,1,1,0,0,0,0
399,1762970255317,1,0,1,1,0,0,0,0
400,1762970255736,1,0,1,1,0,0,0,0
401,1762970256600,1,0,1,1,0,0,0,0
402,1762970257449,1,0,1,1,0,0,0,0
403,1762970257882,1,0,1,1,0,0,0,0
404,1762970258764,1,0,1,1,0,0,0,0
405,1762970259564,1,0,1,1,0,0,0,0
406,1762970260414,1,0,1,1,0,0,0,0
407,1762970260863,1,0,1,1,0,0,0,0
408,1762970261298,1,0,1,1,0,0,0,0
409,1762970261712,1,0,1,1,0,0,0,0
410,1762970262195,1,0,1,1,0,0,0,0
411,1762970262529,1,0,1,1,0,0,0,0
412,1762970263610,1,0,1,1,0,0,0,0
413,1762970264528,1,0,1,1,0,0,0,0
414,1762970265094,1,0,1,1,0,0,0,0
415,1762970266809,1,0,1,1,0,0,0,0
416,1762970267309,1,0,1,1,0,0,0,0
417,1762970273623,1,0,1,1,0,0,0,0
418,1762970274187,1,0,1,1,0,0,0,0
419,1762970274504,1,0,1,1,0,0,0,0
420,1762970275037,1,0,1,1,0,0,0,0
421,1762970275437,1,0,1,1,0,0,0,0
422,1762970275920,1,0,1,1,0,0,0,0
423,1762970276419,1,0,1,1,0,0,0,0
424,1762970277402,1,0,1,1,0,0,0,0
425,1762970277919,1,0,1,1,0,0,0,0
426,1762970278617,1,0,1,1,0,0,0,0
427,1762970279533,1,0,1,1,0,0,0,0
428,1762970280116,1,0,1,1,0,0,0,0
429,1762970280433,1,0,1,1,0,0,0,0
430,1762970280932,1,0,1,1,0,0,0,0
431,1762970281381,1,0,1,1,0,0,0,0
432,1762970281798,1,0,1,1,0,0,0,0
433,1762970282314,1,0,1,1,0,0,0,0
434,1762970282697,1,0,1,1,0,0,0,0
435,1762970283313,1,0,1,1,0,0,0,0
436,1762970283613,1,0,1,1,0,0,0,0
437,1762970284230,1,0,1,1,0,0,0,0
438,1762970284498,1,0,1,1,0,0,0,0
439,1762970284995,1,0,1,1,0,0,0,0
440,1762970285413,1,0,1,1,0,0,0,0
441,1762970285895,1,0,1,1,0,0,0,0
442,1762970286794,1,0,1,1,0,0,0,0
443,1762970287693,1,0,1,1,0,0,0,0
444,1762970288293,1,0,1,1,0,0,0,0
445,1762970288576,1,0,1,1,0,0,0,0
446,1762970289227,1,0,1,1,0,0,0,0
447,1762970289491,1,0,1,1,0,0,0,0
448,1762970289974,1,0,1,1,0,0,0,0
449,1762970290491,1,0,1,1,0,0,0,0
450,1762970290874,1,0,1,1,0,0,0,0
451,1762970291756,1,0,1,1,0,0,0,0
452,1762970292256,1,0,1,1,0,0,0,0
453,1762970294071,1,0,1,1,0,0,0,0
454,1762970294454,1,0,1,1,0,0,0,0
455,1762970294871,1,0,1,1,0,0,0,0
456,1762970295304,1,0,1,1,0,0,0,0
457,1762970295753,1,0,1,1,0,0,0,0
458,1762970296669,1,0,1,1,0,0,0,0
459,1762970297586,1,0,1,1,0,0,0,0
460,1762970298086,1,0,1,1,0,0,0,0
461,1762970298484,1,0,1,1,0,0,0,0
462,1762970298968,1,0,1,1,0,0,0,0
463,1762970299916,1,0,1,1,0,0,0,0
464,1762970300735,1,0,1,1,0,0,0,0
465,1762970301249,1,0,1,1,0,0,0,0
466,1762970301765,1,0,1,1,0,0,0,0
467,1762970302065,1,0,1,1,0,0,0,0
468,1762970302897,1,0,1,1,0,0,0,0
469,1762970303380,1,0,1,1,0,0,0,0
470,1762970303748,1,0,1,1,0,0,0,0
471,1762970304712,1,0,1,1,0,0,0,0
472,1762970305895,1,0,1,1,0,0,0,0
473,1762970306512,1,0,1,1,0,0,0,0
474,1762970306727,1,0,1,1,0,0,0,0
475,1762970307360,1,0,1,1,0,0,0,0
476,1762970307627,1,0,1,1,0,0,0,0
477,1762970308093,1,0,1,1,0,0,0,0
478,1762970308542,1,0,1,1,0,0,0,0
479,1762970309025,1,0,1,1,0,0,0,0
480,1762970309542,1,0,1,1,0,0,0,0
481,1762970310426,1,0,1,1,0,0,0,0
482,1762970310825,1,0,1,1,0,0,0,0
483,1762970311741,1,0,1,1,0,0,0,0
484,1762970312323,1,0,1,1,0,0,0,0
485,1762970312739,1,0,1,1,0,0,0,0
486,1762970315836,1,0,1,1,0,0,0,0
487,1762970316386,1,0,1,1,0,0,0,0
488,1762970317652,1,0,1,1,0,0,0,0
489,1762970322066,1,0,1,1,0,0,0,0
490,1762970322866,1,0,1,1,0,0,0,0
491,1762970323380,1,0,1,1,0,0,0,0
492,1762970323763,1,0,1,1,0,0,0,0
493,1762970324147,1,0,1,1,0,0,0,0
494,1762970324579,1,0,1,1,0,0,0,0
495,1762970324979,1,0,1,1,0,0,0,0
496,1762970325412,1,0,1,1,0,0,0,0
497,1762970326462,1,0,1,1,0,0,0,0
498,1762970326694,1,0,1,1,0,0,0,0
499,1762970327128,1,0,1,1,0,0,0,0
500,1762970327627,1,0,1,1,0,0,0,0
501,1762970327943,1,0,1,1,0,0,0,0
502,1762970328826,1,0,1,1,0,0,0,0
503,1762970329344,1,0,1,1,0,0,0,0
504,1762970329759,1,0,1,1,0,0,0,0
505,1762970330192,1,0,1,1,0,0,0,0
506,1762970330924,1,0,1,1,0,0,0,0
507,1762970331857,1,0,1,1,0,0,0,0
508,1762970332739,1,0,1,1,0,0,0,0
509,1762970333573,1,0,1,1,0,0,0,0
510,1762970335138,1,0,1,1,0,0,0,0
511,1762970335470,1,0,1,1,0,0,0,0
512,1762970335936,1,0,1,1,0,0,0,0
513,1762970337419,1,0,1,1,0,0,0,0
514,1762970337752,1,0,1,1,0,0,0,0
515,1762970338418,1,0,1,1,0,0,0,0
516,1762970338669,1,0,1,1,0,0,0,0
517,1762970339686,1,0,1,1,0,0,0,0
518,1762970340133,1,0,1,1,0,0,0,0
519,1762970340633,1,0,1,1,0,0,0,0
520,1762970340967,1,0,1,1,0,0,0,0
521,1762970341499,1,0,1,1,0,0,0,0
522,1762970341848,1,0,1,1,0,0,0,0
