index,date,INV_STATE_R_MOTOR,FAILURE_R_MOTOR,ALARM_R_MOTOR,1,2,3,4,5
274,1762970032872,0,0,0,0,0,0,0,0
275,1762970033022,0,0,0,0,0,0,0,0
276,1762970033105,0,0,0,0,0,0,0,0
277,1762970033256,0,0,0,0,0,0,0,0
278,1762970033438,0,0,0,0,0,0,0,0
279,1762970033538,0,0,0,0,0,0,0,0
280,1762970033655,0,0,0,0,0,0,0,0
281,1762970033771,0,0,0,3.26,0,0,0,0
282,1762970034087,0,0,0,0,0,0,0,0
283,1762970034204,0,0,0,3.31,0,0,0,0
284,1762970034420,0,0,0,0,0,0,0,0
285,1762970034521,0,0,0,0,0,0,0,0
286,1762970034637,0,0,0,0,0,0,0,0
287,1762970034754,0,0,0,0,0,0,0,0
288,1762970034903,0,0,0,0,0,0,0,0
289,1762970035153,0,0,0,0,0,0,0,0
290,1762970035270,0,0,0,0,0,0,0,0
291,1762970035420,0,0,0,0,0,0,0,0
292,1762970035520,0,0,0,0,0,0,0,0
293,1762970035670,0,0,0,0,0,0,0,0
294,1762970035886,0,0,0,0,0,0,0,0
295,1762970035970,0,0,0,0,0,0,0,0
296,1762970036069,0,0,0,0,0,0,0,0
297,1762970036202,0,0,0,0,0,0,0,0
298,1762970036319,0,0,0,0,0,0,0,0
299,1762970036403,0,0,0,0,0,0,0,0
300,1762970036519,0,0,0,0,0,0,0,0
301,1762970036619,0,0,0,0,0,0,0,0
302,1762970036735,0,0,0,0,0,0,0,0
303,1762970036953,0,0,0,3.32,0,0,0,0
304,1762970037051,0,0,0,0,0,0,0,0
305,1762970037169,0,0,0,0,0,0,0,0
306,1762970037286,0,0,0,0,0,0,0,0
307,1762970037386,0,0,0,3.32,0,0,0,0
308,1762970037501,0,0,0,0,0,0,0,0
309,1762970037718,0,0,0,0,0,0,0,0
310,1762970037834,0,0,0,0,0,0,0,0
311,1762970037935,0,0,0,0,0,0,0,0
312,1762970038067,0,0,0,0,0,0,0,0
313,1762970038185,0,0,0,0,0,0,0,0
314,1762970038317,0,0,0,0,0,0,0,0
315,1762970038600,0,0,0,0,0,0,0,0
316,1762970038718,0,0,0,0,0,0,0,0
317,1762970038833,0,0,0,0,0,0,0,0
