index,date,1,2,3,4,5,6,7,8
3174,1762968483197,0,0,0,0,0,0,0,0
3175,1762968483314,0,0,0,0,0,0,0,0
3176,1762968483414,0,0,0,0,0,0,0,0
3177,1762968483530,0,0,0,0,0,0,0,0
3178,1762968483680,0,0,0,0,0,0,0,0
3179,1762968483814,0,0,0,0,0,0,0,0
3180,1762968483913,0,0,0,0,0,0,0,0
3181,1762968484013,0,0,0,0,0,0,0,0
3182,1762968484079,0,0,0,0,0,0,0,0
3183,1762968484180,0,0,0,0,0,0,0,0
3184,1762968484296,0,0,0,0,0,0,0,0
3185,1762968484414,0,0,0,0,0,0,0,0
3186,1762968484529,0,0,0,0,0,0,0,0
3187,1762968484629,0,0,0,0,0,0,0,0
3188,1762968484746,0,0,0,0,0,0,0,0
3189,1762968484864,0,0,0,0,0,0,0,0
3190,1762968484996,0,0,0,0,0,0,0,0
3191,1762968485113,0,0,0,0,0,0,0,0
3192,1762968485279,0,0,0,0,0,0,0,0
3193,1762968485412,0,0,0,0,0,0,0,0
3194,1762968485512,0,0,0,0,0,0,0,0
3195,1762968485695,0,0,0,0,0,0,0,0
3196,1762968485814,0,0,0,0,0,0,0,0
3197,1762968485995,0,0,0,0,0,0,0,0
3198,1762968486061,0,0,0,0,0,0,0,0
3199,1762968486178,0,0,0,0,0,0,0,0
3200,1762968486277,0,0,0,0,0,0,0,0
3201,1762968486395,0,0,0,0,0,0,0,0
3202,1762968486512,0,0,0,0,0,0,0,0
3203,1762968486627,0,0,0,0,0,0,0,0
3204,1762968486728,0,0,0,0,0,0,0,0
3205,1762968486844,0,0,0,0,0,0,0,0
3206,1762968486944,0,0,0,0,0,0,0,0
3207,1762968487094,0,0,0,0,0,0,0,0
3208,1762968487377,0,0,0,0,0,0,0,0
3209,1762968487494,0,0,0,0,0,0,0,0
3210,1762968487760,0,0,0,0,0,0,0,0
3211,1762968487877,0,0,0,0,0,0,0,0
3212,1762968487977,0,0,0,0,0,0,0,0
3213,1762968488043,0,0,0,0,0,0,0,0
3214,1762968488260,0,0,0,0,0,0,0,0
3215,1762968488492,0,0,0,0,0,0,0,0
3216,1762968488793,0,0,0,0,0,0,0,0
3217,1762968488975,0,0,0,0,0,0,0,0
3218,1762968489142,0,0,0,0,0,0,0,0
3219,1762968489358,0,0,0,0,0,0,0,0
3220,1762968489575,0,0,0,0,0,0,0,0
3221,1762968489826,0,0,0,0,0,0,0,0
3222,1762968489925,0,0,0,0,0,0,0,0
3223,1762968490026,0,0,0,0,0,0,0,0
3224,1762968490124,0,0,0,0,0,0,0,0
3225,1762968490458,0,0,0,0,0,0,0,0
3226,1762968490558,0,0,0,0,0,0,0,0
3227,1762968490674,0,0,0,0,0,0,0,0
3228,1762968491224,0,0,0,0,0,0,0,0
3229,1762968491343,0,0,0,0,0,0,0,0
3230,1762968491791,0,0,0,0,0,0,0,0
3231,1762968491890,0,0,0,0,0,0,0,0
3232,1762968491990,0,0,0,0,0,0,0,0
3233,1762968492223,0,0,0,0,0,0,0,0
3234,1762968492325,0,0,0,0,0,0,0,0
3235,1762968492557,0,0,0,0,0,0,0,0
3236,1762968493208,0,0,0,0,0,0,0,0
3237,1762968493323,0,0,0,0,0,0,0,0
3238,1762968493421,0,0,0,0,0,0,0,0
3239,1762968493554,0,0,0,0,0,0,0,0
3240,1762968493656,0,0,0,0,0,0,0,0
3241,1762968493788,0,0,0,0,0,0,0,0
3242,1762968493871,0,0,0,0,0,0,0,0
3243,1762968493988,0,0,0,0,0,0,0,0
3244,1762968494087,0,0,0,0,0,0,0,0
3245,1762968494204,0,0,0,0,0,0,0,0
3246,1762968494303,0,0,0,0,0,0,0,0
3247,1762968494421,0,0,0,0,0,0,0,0
3248,1762968494521,0,0,0,0,0,0,0,0
3249,1762968494637,0,0,0,0,0,0,0,0
3250,1762968494786,0,0,0,0,0,0,0,0
3251,1762968494904,0,0,0,0,0,0,0,0
3252,1762968494987,0,0,0,0,0,0,0,0
3253,1762968495087,0,0,0,0,0,0,0,0
3254,1762968495203,0,0,0,0,0,0,0,0
3255,1762968495303,0,0,0,0,0,0,0,0
3256,1762968495421,0,0,0,0,0,0,0,0
3257,1762968495519,0,0,0,0,0,0,0,0
3258,1762968495669,0,0,0,0,0,0,0,0
3259,1762968495771,0,0,0,0,0,0,0,0
3260,1762968495852,0,0,0,0,0,0,0,0
3261,1762968495953,0,0,0,0,0,0,0,0
3262,1762968496069,0,0,0,0,0,0,0,0
3263,1762968496285,0,0,0,0,0,0,0,0
3264,1762968496436,0,0,0,0,0,0,0,0
3265,1762968496519,0,0,0,0,0,0,0,0
3266,1762968496635,0,0,0,0,0,0,0,0
3267,1762968496752,0,0,0,0,0,0,0,0
3268,1762968496869,0,0,0,0,0,0,0,0
3269,1762968496952,0,0,0,0,0,0,0,0
3270,1762968497068,0,0,0,0,0,0,0,0
3271,1762968497168,0,0,0,0,0,0,0,0
3272,1762968497269,0,0,0,0,0,0,0,0
3273,1762968497401,0,0,0,0,0,0,0,0
3274,1762968497502,0,0,0,0,0,0,0,0
3275,1762968497618,0,0,0,0,0,0,0,0
3276,1762968497817,0,0,0,0,0,0,0,0
3277,1762968497967,0,0,0,0,0,0,0,0
3278,1762968498051,0,0,0,0,0,0,0,0
3279,1762968498150,0,0,0,0,0,0,0,0
3280,1762968498267,0,0,0,0,0,0,0,0
3281,1762968498383,0,0,0,0,0,0,0,0
3282,1762968498483,0,0,0,0,0,0,0,0
3283,1762968498616,0,0,0,0,0,0,0,0
3284,1762968498816,0,0,0,0,0,0,0,0
3285,1762968498917,0,0,0,0,0,0,0,0
3286,1762968499017,0,0,0,0,0,0,0,0
3287,1762968499083,0,0,0,0,0,0,0,0
3288,1762968499251,0,0,0,0,0,0,0,0
3289,1762968499382,0,0,0,0,0,0,0,0
3290,1762968499483,0,0,0,0,0,0,0,0
3291,1762968499598,0,0,0,0,0,0,0,0
3292,1762968499699,0,0,0,0,0,0,0,0
3293,1762968499800,0,0,0,0,0,0,0,0
3294,1762968499916,0,0,0,0,0,0,0,0
3295,1762968500034,0,0,0,0,0,0,0,0
3296,1762968500132,0,0,0,0,0,0,0,0
3297,1762968500250,0,0,0,0,0,0,0,0
3298,1762968500348,0,0,0,0,0,0,0,0
3299,1762968500467,0,0,0,0,0,0,0,0
3300,1762968500582,0,0,0,0,0,0,0,0
3301,1762968500701,0,0,0,0,0,0,0,0
3302,1762968500798,0,0,0,0,0,0,0,0
3303,1762968500899,0,0,0,0,0,0,0,0
3304,1762968501016,0,0,0,0,0,0,0,0
3305,1762968501132,0,0,0,0,0,0,0,0
3306,1762968501248,0,0,0,0,0,0,0,0
3307,1762968501365,0,0,0,0,0,0,0,0
3308,1762968501464,0,0,0,0,0,0,0,0
3309,1762968501566,0,0,0,0,0,0,0,0
3310,1762968501682,0,0,0,0,0,0,0,0
3311,1762968501799,0,0,0,0,0,0,0,0
3312,1762968501916,0,0,0,0,0,0,0,0
3313,1762968502000,0,0,0,0,0,0,0,0
3314,1762968502117,0,0,0,0,0,0,0,0
3315,1762968502234,0,0,0,0,0,0,0,0
3316,1762968502331,0,0,0,0,0,0,0,0
3317,1762968502465,0,0,0,0,0,0,0,0
3318,1762968502564,0,0,0,0,0,0,0,0
3319,1762968502714,0,0,0,0,0,0,0,0
3320,1762968502948,0,0,0,0,0,0,0,0
3321,1762968503014,0,0,0,0,0,0,0,0
3322,1762968503132,0,0,0,0,0,0,0,0
3323,1762968503215,0,0,0,0,0,0,0,0
3324,1762968503332,0,0,0,0,0,0,0,0
3325,1762968503431,0,0,0,0,0,0,0,0
3326,1762968503547,0,0,0,0,0,0,0,0
