index,date,MIN_VOLTAGE,MAX_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,1,2,3,4
276,1762968250758,3.32,3.25,79.2,0,0,0,0,0
277,1762968251172,3.32,3.17,79.1,0,0,0,0,0
278,1762968251973,3.32,3.25,79.2,0,0,0,0,0
279,1762968252422,3.32,3.17,79.1,0,0,0,0,0
280,1762968253240,3.32,3.25,79.2,0,0,0,0,0
281,1762968253721,3.32,3.17,79.1,0,0,0,0,0
282,1762968254488,3.32,3.25,79.2,0,0,0,0,0
283,1762968255819,3.32,3.25,79.2,0,0,0,0,0
284,1762968256219,3.32,3.18,79.1,0,0,0,0,0
285,1762968257468,3.32,3.17,79.1,0,0,0,0,0
286,1762968258250,3.32,3.25,79.2,0,0,0,0,0
287,1762968258702,3.32,3.17,79.1,0,0,0,0,0
288,1762968260049,3.32,3.17,79.1,0,0,0,0,0
289,1762968260748,3.32,3.25,79.2,0,0,0,0,0
290,1762968265777,3.32,3.25,79.2,0,0,0,0,0
291,1762968266244,3.32,3.16,79.1,0,0,0,0,0
292,1762968267077,3.32,3.25,79.2,0,0,0,0,0
293,1762968268278,3.32,3.25,79.2,0,0,0,0,0
294,1762968268742,3.32,3.18,79.1,0,0,0,0,0
295,1762968269558,3.32,3.25,79.2,0,0,0,0,0
296,1762968270058,3.32,3.16,79.1,0,0,0,0,0
297,1762968270808,3.32,3.25,79.2,0,0,0,0,0
298,1762968271290,3.32,3.17,79.1,0,0,0,0,0
299,1762968272172,3.32,3.25,79.2,0,0,0,0,0
300,1762968272555,3.32,3.17,79.1,0,0,0,0,0
301,1762968273288,3.32,3.25,79.2,0,0,0,0,0
302,1762968273771,3.32,3.17,79.1,0,0,0,0,0
303,1762968274536,3.32,3.25,79.2,0,0,0,0,0
304,1762968275153,3.32,3.17,79.1,0,0,0,0,0
305,1762968275802,3.32,3.25,79.2,0,0,0,0,0
306,1762968276269,3.32,3.17,79.1,0,0,0,0,0
307,1762968277518,3.32,3.17,79.1,0,0,0,0,0
308,1762968278317,3.32,3.25,79.2,0,0,0,0,0
309,1762968278783,3.32,3.17,79.1,0,0,0,0,0
310,1762968279566,3.32,3.25,79.2,0,0,0,0,0
311,1762968280016,3.32,3.17,79.1,0,0,0,0,0
312,1762968280816,3.32,3.25,79.2,0,0,0,0,0
313,1762968281282,3.32,3.17,79.1,0,0,0,0,0
314,1762968282097,3.32,3.25,79.2,0,0,0,0,0
315,1762968283764,3.32,3.17,79.1,0,0,0,0,0
316,1762968285061,3.32,3.17,79.1,0,0,0,0,0
317,1762968285828,3.32,3.25,79.2,0,0,0,0,0
318,1762968287143,3.32,3.25,79.2,0,0,0,0,0
319,1762968287542,3.32,3.17,79.1,0,0,0,0,0
320,1762968290857,3.32,3.25,79.2,0,0,0,0,0
321,1762968291290,3.32,3.18,79.1,0,0,0,0,0
322,1762968292090,3.32,3.25,79.2,0,0,0,0,0
323,1762968292538,3.32,3.17,79.1,0,0,0,0,0
324,1762968293338,3.32,3.25,79.2,0,0,0,0,0
325,1762968293804,3.32,3.17,79.1,0,0,0,0,0
326,1762968294620,3.32,3.25,79.2,0,0,0,0,0
327,1762968295836,3.32,3.25,79.2,0,0,0,0,0
328,1762968296286,3.32,3.17,79.1,0,0,0,0,0
329,1762968297102,3.32,3.25,79.2,0,0,0,0,0
330,1762968297586,3.32,3.15,79.1,0,0,0,0,0
331,1762968298367,3.32,3.25,79.2,0,0,0,0,0
332,1762968299599,3.32,3.25,79.2,0,0,0,0,0
333,1762968300082,3.32,3.17,79.1,0,0,0,0,0
334,1762968300864,3.32,3.25,79.2,0,0,0,0,0
335,1762968301331,3.32,3.17,79.1,0,0,0,0,0
336,1762968302131,3.32,3.25,79.2,0,0,0,0,0
337,1762968302564,3.32,3.17,79.1,0,0,0,0,0
338,1762968303363,3.32,3.25,79.2,0,0,0,0,0
339,1762968303862,3.32,3.15,79.1,0,0,0,0,0
340,1762968304662,3.32,3.25,79.2,0,0,0,0,0
341,1762968305147,3.32,3.17,79.1,0,0,0,0,0
342,1762968305879,3.32,3.25,79.2,0,0,0,0,0
343,1762968306343,3.32,3.17,79.1,0,0,0,0,0
344,1762968307193,3.32,3.25,79.2,0,0,0,0,0
345,1762968307609,3.32,3.17,79.1,0,0,0,0,0
346,1762968308376,3.32,3.25,79.2,0,0,0,0,0
347,1762968308842,3.32,3.17,79.1,0,0,0,0,0
348,1762968309642,3.32,3.25,79.2,0,0,0,0,0
349,1762968310108,3.32,3.17,79.1,0,0,0,0,0
350,1762968310907,3.32,3.25,79.2,0,0,0,0,0
351,1762968311339,3.32,3.17,79.1,0,0,0,0,0
352,1762968312139,3.32,3.25,79.2,0,0,0,0,0
353,1762968312607,3.32,3.17,79.1,0,0,0,0,0
