index,date,LEFT_MOTOR_CURRENT
849,1782590567382,0
850,1782590567899,0
851,1782590568215,0
852,1782590568581,0
853,1782590568947,0
854,1782590569198,0
855,1782590570146,0
856,1782590570380,0
857,1782590570713,0
858,1782590570963,0
859,1782590577108,0
860,1782590578539,0
861,1782590579222,0
862,1782590579489,0
863,1782590579738,0
864,1782590580305,0
865,1782590580954,0
866,1782590581320,0
867,1782590582453,0
868,1782590582786,0
869,1782590587450,0
870,1782590587783,0
871,1782590590013,0
872,1782590590347,0
873,1782590590646,0
874,1782590591012,0
875,1782590591213,0
876,1782590591545,0
877,1782590591913,0
878,1782590592078,0
879,1782590592328,0
880,1782590592662,0
881,1782590593010,0
882,1782590593260,0
883,1782590593593,0
884,1782590593876,0
885,1782590594526,0
886,1782590594659,0
887,1782590594992,0
888,1782590595310,0
889,1782590595675,0
890,1782590597124,0
891,1782590597790,0
892,1782590599738,0
893,1782590601170,0
894,1782590601471,0
895,1782590602636,0
896,1782590603418,0
897,1782590604485,0
898,1782590604834,0
899,1782590608831,0
900,1782590608931,0
901,1782590610096,0
902,1782590610414,0
903,1782590610746,0
904,1782590611095,0
905,1782590611429,0
906,1782590611545,0
907,1782590612112,0
908,1782590612444,0
909,1782590613277,0
910,1782590613694,0
911,1782590614743,0
912,1782590616874,0
913,1782590620304,0
914,1782590620605,0
915,1782590620988,0
916,1782590621187,0
917,1782590621788,0
918,1782590622453,0
919,1782590622803,0
920,1782590623102,0
921,1782590623418,0
922,1782590623685,0
923,1782590623802,0
924,1782590624218,0
925,1782590625717,0
926,1782590626583,0
927,1782590626916,0
928,1782590627232,0
929,1782590627632,0
930,1782590628781,0
931,1782590629114,0
932,1782590632594,0
933,1782590632896,0
934,1782590633277,0
935,1782590633428,0
936,1782590634493,0
937,1782590634792,0
938,1782590638855,0
939,1782590640971,0
940,1782590641820,0
941,1782590641936,0
942,1782590642535,0
943,1782590643119,0
944,1782590644867,0
945,1782590645283,0
946,1782590645866,0
947,1782590714891,0
948,1782590715542,0
949,1782590716275,0
950,1782590717024,0
951,1782590717156,0
952,1782590717973,0
953,1782590718124,0
954,1782590718739,0
955,1782590719072,0
956,1782590719455,0
957,1782590720886,0
958,1782590721738,0
959,1782590725816,0
960,1782590729413,0
961,1782590729729,0
962,1782590730079,0
963,1782590730379,0
964,1782590731129,0
965,1782590731477,0
966,1782590731861,0
967,1782590735624,0
968,1782590737957,0
969,1782590738223,0
970,1782590738539,0
971,1782590739471,0
972,1782590740870,0
973,1782590741053,0
974,1782590741386,0
975,1782590741652,0
976,1782590742003,0
977,1782590742353,0
978,1782590742918,0
979,1782590743786,0
980,1782590743801,1
981,1782590745051,901
982,1782590745933,1135
983,1782590746582,1165
984,1782590747065,1172
985,1782590749663,1156
986,1782590751195,1116
987,1782590752244,0
988,1782590752510,0
989,1782590753127,0
990,1782590753809,0
991,1782590754841,0
992,1782590754874,0
993,1782590755424,0
994,1782590756441,0
995,1782590757989,0
996,1782590758422,0
997,1782590759021,0
998,1782590760604,0
999,1782590761653,0
1000,1782590762319,0
1001,1782590762568,0
1002,1782590763968,0
1003,1782590765815,0
1004,1782590766116,0
1005,1782590768064,0
1006,1782590768713,0
1007,1782590770295,0
1008,1782590771311,0
1009,1782590772060,0
1010,1782590772243,0
1011,1782590773260,0
1012,1782590774209,0
1013,1782590774841,0
1014,1782590775874,0
1015,1782590777789,0
1016,1782590778855,0
1017,1782590779404,0
1018,1782590780403,0
1019,1782590781419,0
1020,1782590782352,1
1021,1782590782950,2
1022,1782590783400,884
1023,1782590784966,1485
1024,1782590786111,1495
1025,1782590794749,1032
1026,1782590796519,1053
1027,1782590797532,1038
1028,1782590798107,1054
1029,1782590798396,1038
1030,1782590799020,1036
1031,1782590799436,1061
1032,1782590800059,1038
1033,1782590800910,1011
1034,1782590802076,0
1035,1782590802746,8
1036,1782590803258,9
1037,1782590804989,64503
1038,1782590805538,64498
1039,1782590806670,64508
1040,1782590808169,64489
1041,1782590808570,64510
1042,1782590809634,64498
1043,1782590810034,64496
1044,1782590810117,64483
1045,1782590811133,64518
1046,1782590812148,64501
1047,1782590813000,64489
1048,1782590813448,64483
1049,1782590814013,64499
1050,1782590814463,64493
1051,1782590815012,64493
1052,1782590815329,64493
1053,1782590815896,1299
1054,1782590816329,1374
1055,1782590818161,8
1056,1782590819209,1368
1057,1782590819626,1628
1058,1782590819792,1727
1059,1782590820108,1522
1060,1782590820724,1181
1061,1782590821124,1157
1062,1782590821740,1253
1063,1782590822040,1090
1064,1782590822756,1032
1065,1782590823672,1133
1066,1782590824072,1096
1067,1782590825620,10
1068,1782590826704,1248
1069,1782590827070,1231
1070,1782590827236,0
1071,1782590828444,0
1072,1782590828468,5
1073,1782590828951,9
1074,1782590829351,469
1075,1782590829501,0
1076,1782590829884,568
1077,1782590830916,981
1078,1782590832864,3
1079,1782590833530,9
1080,1782590835095,822
1081,1782590835811,850
1082,1782590836494,916
1083,1782590837377,971
1084,1782590837843,973
1085,1782590838826,0
1086,1782590839445,0
1087,1782590839658,0
1088,1782590841057,0
1089,1782590841606,0
1090,1782590843172,0
1091,1782590970099,0
1092,1782590970749,0
1093,1782590971481,0
1094,1782590972147,0
1095,1782590972963,0
1096,1782590973063,0
1097,1782590974845,0
1098,1782590975212,0
1099,1782590975577,0
1100,1782590975894,0
1101,1782590975994,0
1102,1782590976660,0
1103,1782590976744,0
1104,1782590978476,0
1105,1782590978758,0
1106,1782590981039,0
1107,1782590983421,0
1108,1782590983737,0
1109,1782590987018,1596
1110,1782590988551,1616
1111,1782590989666,1495
1112,1782590991266,1287
1113,1782590992330,1319
1114,1782590993113,1261
1115,1782590996327,1459
1116,1782590997292,1271
1117,1782590997709,1272
1118,1782590998592,1274
1119,1782590999258,1185
1120,1782591001173,212
1121,1782591001823,1464
1122,1782591002255,1429
1123,1782591002739,1568
1124,1782591004803,0
1125,1782591005353,10
1126,1782591005720,12
1127,1782591006734,1418
1128,1782591008401,1276
1129,1782591009616,6
1130,1782591009749,6
1131,1782591010315,1211
1132,1782591011415,1370
1133,1782591012047,1375
1134,1782591013013,1318
1135,1782591014062,0
1136,1782591014944,3
1137,1782591015560,1249
1138,1782591015961,1502
1139,1782591016576,1385
1140,1782591016976,1299
1141,1782591017442,1206
1142,1782591017892,0
1143,1782591019657,0
1144,1782591021039,7
1145,1782591022272,680
1146,1782591023254,1824
1147,1782591023887,1362
1148,1782591024303,1264
1149,1782591024836,1174
1150,1782591025452,1562
1151,1782591025852,1869
1152,1782591026568,1906
1153,1782591027434,1882
1154,1782591028418,1850
1155,1782591029364,2238
1156,1782591030381,0
1157,1782591031628,0
1158,1782591032330,0
1159,1782591032729,0
1160,1782591034828,0
1161,1782591035444,0
1162,1782591036243,0
1163,1782591036476,0
1164,1782591036760,0
1165,1782591037425,0
1166,1782591038208,0
1167,1782591039457,0
1168,1782591039923,0
1169,1782591040939,0
1170,1782591041922,0
1171,1782591042655,0
1172,1782591043288,0
1173,1782591043670,0
1174,1782591044220,0
1175,1782591045253,0
1176,1782591046769,0
1177,1782591047234,0
1178,1782591047951,0
1179,1782591049382,0
1180,1782591050231,0
1181,1782591050298,0
1182,1782591051114,0
1183,1782591051896,0
1184,1782591052030,0
1185,1782591053678,0
1186,1782591053962,0
1187,1782591054911,0
1188,1782591055211,0
1189,1782591056209,0
1190,1782591056859,0
1191,1782591057792,0
1192,1782591058541,0
1193,1782591059490,0
1194,1782591060456,0
1195,1782591061456,0
1196,1782591063054,0
1197,1782591064671,0
1198,1782591064686,0
1199,1782591064703,0
1200,1782591065486,0
1201,1782591065602,0
1202,1782591066301,0
1203,1782591066418,0
1204,1782591067217,0
1205,1782591067350,0
1206,1782591069132,0
1207,1782591071047,0
1208,1782591073195,0
1209,1782591073612,0
1210,1782591074211,0
1211,1782591106600,0
1212,1782591107554,0
1213,1782591108001,0
1214,1782591108665,0
1215,1782591109415,0
1216,1782591111296,0
1217,1782591111647,0
1218,1782591111996,0
1219,1782591112229,0
1220,1782591113062,0
1221,1782591113445,0
1222,1782591113728,0
1223,1782591114961,0
1224,1782591115278,0
1225,1782591118790,0
1226,1782591119058,0
1227,1782591119423,0
1228,1782591120174,0
1229,1782591120589,0
1230,1782591120856,0
1231,1782591121522,0
1232,1782591122071,0
1233,1782591122304,0
1234,1782591122637,0
1235,1782591122970,0
1236,1782591123253,0
1237,1782591127650,0
1238,1782591128016,0
1239,1782591128382,0
1240,1782591128666,0
1241,1782591128966,0
1242,1782591129616,0
1243,1782591129731,0
