index,date,LOST_MSG_R_MOTOR,BUS_OFF_R_MOTOR,CAN_STATE_R_MOTOR
1619,1782591373043,0,0,2
1620,1782591373127,0,0,2
1621,1782591373476,0,0,2
1622,1782591373842,0,0,2
1623,1782591376790,0,0,2
1624,1782591377139,0,0,2
1625,1782591377489,0,0,2
1626,1782591378755,0,0,2
1627,1782591378888,0,0,2
1628,1782591380570,0,0,2
1629,1782591381885,0,0,2
1630,1782591382102,0,0,2
1631,1782591383068,0,0,2
1632,1782591383301,0,0,2
1633,1782591384450,0,0,2
1634,1782591384634,0,0,2
1635,1782591385882,0,0,2
1636,1782591385999,0,0,2
1637,1782591386282,0,0,2
1638,1782591387897,0,0,2
1639,1782591388347,0,0,2
1640,1782591388430,0,0,2
1641,1782591389912,0,0,2
1642,1782591390095,0,0,2
1643,1782591391261,0,0,2
1644,1782591391411,0,0,2
1645,1782591391660,0,0,2
1646,1782591393442,0,0,2
1647,1782591393576,0,0,2
1648,1782591394775,0,0,2
1649,1782591394925,0,0,2
1650,1782591395275,0,0,2
1651,1782591395474,0,0,2
1652,1782591396523,0,0,2
1653,1782591396856,0,0,2
1654,1782591398272,0,0,2
1655,1782591398455,0,0,2
1656,1782591398622,0,0,2
1657,1782591399820,0,0,2
1658,1782591399953,0,0,2
1659,1782591400754,0,0,2
1660,1782591401486,0,0,2
1661,1782591401703,0,0,2
1662,1782591401919,0,0,2
1663,1782591402152,0,0,2
1664,1782591402602,0,0,2
1665,1782591402735,0,0,2
1666,1782591403052,0,0,2
1667,1782591403318,0,0,2
1668,1782591405200,0,0,2
1669,1782591405982,0,0,2
1670,1782591406365,0,0,2
1671,1782591410195,0,0,2
1672,1782591410330,0,0,2
1673,1782591411761,0,0,2
1674,1782591412294,0,0,2
1675,1782591412361,0,0,2
1676,1782591413510,0,0,2
1677,1782591413743,0,0,2
1678,1782591413978,0,0,2
1679,1782591415125,0,0,2
1680,1782591415307,0,0,2
1681,1782591416490,0,0,2
1682,1782591416740,0,0,2
1683,1782591416873,0,0,2
1684,1782591418105,0,0,2
1685,1782591418205,0,0,2
1686,1782591419571,0,0,2
1687,1782591419920,0,0,2
1688,1782591420153,0,0,2
1689,1782591421204,0,0,2
1690,1782591421470,0,0,2
1691,1782591422985,0,0,2
1692,1782591422985,0,0,2
1693,1782591423867,0,0,2
1694,1782591424150,0,0,2
1695,1782591424317,0,0,2
1696,1782591426116,0,0,2
1697,1782591426249,0,0,2
1698,1782591427015,0,0,2
1699,1782591427864,0,0,2
1700,1782591428663,0,0,2
1701,1782591428763,0,0,2
1702,1782591429812,0,0,2
1703,1782591430112,0,0,2
1704,1782591430462,0,0,2
1705,1782591431877,0,0,2
1706,1782591432227,0,0,2
1707,1782591432893,0,0,2
1708,1782591433009,0,0,2
1709,1782591433993,0,0,2
1710,1782591434125,0,0,2
1711,1782591434275,0,0,2
1712,1782591435209,0,0,2
1713,1782591436208,0,0,2
1714,1782591437073,0,0,2
1715,1782591437322,0,0,2
