index,date,SPEED_AVG,STEERING_WHEEL,THROTTLE,BRAKE,5,6,7,8
1124,1762970137317,0,0,0,0,0,0,0,0
1125,1762970137485,0,0,0,0,0,0,0,0
1126,1762970137650,0,0,0,0,0,0,0,0
1127,1762970137868,0,0,0,0,0,0,0,0
1128,1762970138000,0,0,0,0,0,0,0,0
1129,1762970138100,0,0,0,0,0,0,0,0
1130,1762970138201,0,0,0,0,0,0,0,0
1131,1762970138317,0,0,0,0,0,0,0,0
1132,1762970138418,0,0,0,0,0,0,0,0
1133,1762970138537,0,0,0,0,0,0,0,0
1134,1762970138633,0,0,0,0,0,0,0,0
1135,1762970138767,0,0,0,0,0,0,0,0
1136,1762970138916,0,0,0,0,0,0,0,0
1137,1762970139082,0,0,0,0,0,0,0,0
1138,1762970139182,0,0,0,0,0,0,0,0
1139,1762970139299,0,0,0,0,0,0,0,0
1140,1762970139398,0,0,0,0,0,0,0,0
1141,1762970139532,0,0,0,0,0,0,0,0
1142,1762970139631,0,0,0,0,0,0,0,0
1143,1762970139749,0,0,0,0,0,0,0,0
1144,1762970139984,0,0,0,0,0,0,0,0
1145,1762970140081,0,0,0,0,0,0,0,0
1146,1762970140181,0,0,0,0,0,0,0,0
1147,1762970140297,0,0,0,0,0,0,0,0
1148,1762970140414,0,0,0,0,0,0,0,0
1149,1762970140515,0,0,0,0,0,0,0,0
1150,1762970140630,0,0,0,0,0,0,0,0
1151,1762970140780,0,0,0,0,0,0,0,0
1152,1762970141064,0,0,0,0,0,0,0,0
1153,1762970141181,0,0,0,0,0,0,0,0
1154,1762970141279,0,0,0,0,0,0,0,0
1155,1762970141397,0,0,0,0,0,0,0,0
1156,1762970141514,0,0,0,0,0,0,0,0
1157,1762970141647,0,0,0,0,0,0,0,0
1158,1762970141963,0,0,0,0,0,0,0,0
1159,1762970142063,0,0,0,0,0,0,0,0
1160,1762970142163,0,0,0,0,0,0,0,0
1161,1762970142263,0,0,0,0,0,0,0,0
1162,1762970142380,0,0,0,0,0,0,0,0
1163,1762970142513,0,0,0,0,0,0,0,0
1164,1762970142699,0,0,0,0,0,0,0,0
1165,1762970142781,0,0,0,0,0,0,0,0
1166,1762970142896,0,0,0,0,0,0,0,0
1167,1762970142995,0,0,0,0,0,0,0,0
1168,1762970143146,0,0,0,0,0,0,0,0
1169,1762970143262,0,0,0,0,0,0,0,0
1170,1762970143413,0,0,0,0,0,0,0,0
1171,1762970143545,0,0,0,0,0,0,0,0
1172,1762970143645,0,0,0,0,0,0,0,0
1173,1762970143895,0,0,0,0,0,0,0,0
