index,date,TEMPERATURE,1,2,3,4,5,6,7
651,1765218619659,736,0,0,0,0,0,0,0
652,1765218619877,753,0,0,0,0,0,0,0
653,1765218619960,749,0,0,0,0,0,0,0
654,1765218620194,732,0,0,0,0,0,0,0
655,1765218620294,753,0,0,0,0,0,0,0
656,1765218620511,769,0,0,0,0,0,0,0
657,1765218620611,753,0,0,0,0,0,0,0
658,1765218620810,763,0,0,0,0,0,0,0
659,1765218620942,782,0,0,0,0,0,0,0
660,1765218621093,778,0,0,0,0,0,0,0
661,1765218621244,778,0,0,0,0,0,0,0
662,1765218621461,784,0,0,0,0,0,0,0
663,1765218621543,776,0,0,0,0,0,0,0
664,1765218621777,788,0,0,0,0,0,0,0
665,1765218622009,782,0,0,0,0,0,0,0
666,1765218622299,792,0,0,0,0,0,0,0
667,1765218622360,793,0,0,0,0,0,0,0
668,1765218622544,790,0,0,0,0,0,0,0
669,1765218622678,788,0,0,0,0,0,0,0
670,1765218623059,790,0,0,0,0,0,0,0
671,1765218623227,792,0,0,0,0,0,0,0
672,1765218623343,789,0,0,0,0,0,0,0
673,1765218623794,792,0,0,0,0,0,0,0
674,1765218623926,793,0,0,0,0,0,0,0
675,1765218624093,792,0,0,0,0,0,0,0
676,1765218624227,790,0,0,0,0,0,0,0
677,1765218624477,793,0,0,0,0,0,0,0
678,1765218624544,795,0,0,0,0,0,0,0
679,1765218624760,795,0,0,0,0,0,0,0
680,1765218624927,790,0,0,0,0,0,0,0
681,1765218625110,788,0,0,0,0,0,0,0
682,1765218625310,800,0,0,0,0,0,0,0
683,1765218625527,798,0,0,0,0,0,0,0
684,1765218625677,794,0,0,0,0,0,0,0
685,1765218625877,792,0,0,0,0,0,0,0
686,1765218626043,798,0,0,0,0,0,0,0
687,1765218626194,798,0,0,0,0,0,0,0
688,1765218626394,795,0,0,0,0,0,0,0
689,1765218626527,796,0,0,0,0,0,0,0
690,1765218626643,804,0,0,0,0,0,0,0
691,1765218626810,794,0,0,0,0,0,0,0
692,1765218627111,792,0,0,0,0,0,0,0
693,1765218627177,798,0,0,0,0,0,0,0
694,1765218627310,796,0,0,0,0,0,0,0
695,1765218627545,798,0,0,0,0,0,0,0
696,1765218627627,798,0,0,0,0,0,0,0
697,1765218628009,794,0,0,0,0,0,0,0
698,1765218628128,798,0,0,0,0,0,0,0
699,1765218628294,798,0,0,0,0,0,0,0
700,1765218628460,796,0,0,0,0,0,0,0
701,1765218628610,800,0,0,0,0,0,0,0
702,1765218628861,798,0,0,0,0,0,0,0
703,1765218629044,794,0,0,0,0,0,0,0
704,1765218629194,796,0,0,0,0,0,0,0
705,1765218629327,796,0,0,0,0,0,0,0
706,1765218629476,791,0,0,0,0,0,0,0
707,1765218629677,802,0,0,0,0,0,0,0
708,1765218629694,794,0,0,0,0,0,0,0
709,1765218629910,798,0,0,0,0,0,0,0
710,1765218630028,796,0,0,0,0,0,0,0
711,1765218630194,802,0,0,0,0,0,0,0
712,1765218630327,794,0,0,0,0,0,0,0
713,1765218630443,798,0,0,0,0,0,0,0
714,1765218630693,796,0,0,0,0,0,0,0
715,1765218630894,800,0,0,0,0,0,0,0
716,1765218630943,800,0,0,0,0,0,0,0
717,1765218631093,802,0,0,0,0,0,0,0
718,1765218631242,804,0,0,0,0,0,0,0
719,1765218631409,797,0,0,0,0,0,0,0
720,1765218631641,798,0,0,0,0,0,0,0
721,1765218631825,798,0,0,0,0,0,0,0
722,1765218631943,794,0,0,0,0,0,0,0
723,1765218632109,798,0,0,0,0,0,0,0
724,1765218632226,798,0,0,0,0,0,0,0
725,1765218632442,798,0,0,0,0,0,0,0
726,1765218632592,813,0,0,0,0,0,0,0
727,1765218632742,792,0,0,0,0,0,0,0
728,1765218632809,806,0,0,0,0,0,0,0
729,1765218632993,794,0,0,0,0,0,0,0
730,1765218633127,798,0,0,0,0,0,0,0
731,1765218633328,798,0,0,0,0,0,0,0
732,1765218633444,802,0,0,0,0,0,0,0
733,1765218633494,804,0,0,0,0,0,0,0
734,1765218633727,798,0,0,0,0,0,0,0
735,1765218633793,796,0,0,0,0,0,0,0
736,1765218634044,794,0,0,0,0,0,0,0
737,1765218634275,794,0,0,0,0,0,0,0
738,1765218634512,806,0,0,0,0,0,0,0
739,1765218634677,802,0,0,0,0,0,0,0
740,1765218634843,794,0,0,0,0,0,0,0
741,1765218634977,800,0,0,0,0,0,0,0
742,1765218635160,802,0,0,0,0,0,0,0
743,1765218635209,802,0,0,0,0,0,0,0
744,1765218635411,796,0,0,0,0,0,0,0
745,1765218635510,798,0,0,0,0,0,0,0
746,1765218635694,800,0,0,0,0,0,0,0
747,1765218635776,798,0,0,0,0,0,0,0
748,1765218635876,802,0,0,0,0,0,0,0
749,1765218636177,809,0,0,0,0,0,0,0
750,1765218636261,809,0,0,0,0,0,0,0
751,1765218636526,804,0,0,0,0,0,0,0
752,1765218636644,802,0,0,0,0,0,0,0
753,1765218636809,796,0,0,0,0,0,0,0
754,1765218636961,804,0,0,0,0,0,0,0
