index,date,INV_STATE_L_MOTOR,FAILURE_L_MOTOR,ALARM_L_MOTOR,1,2,3,4,5
728,1762968161847,0,0,0,0,0,0,0,0
729,1762968162465,0,0,0,0,0,0,0,0
730,1762968163147,0,0,0,0,0,0,0,0
731,1762968163263,0,0,0,0,0,0,0,0
732,1762968163364,0,0,0,0,0,0,0,0
733,1762968163479,0,0,0,0,0,0,0,0
734,1762968163579,0,0,0,0,0,0,0,0
735,1762968163696,0,0,0,0,0,0,0,0
736,1762968163796,0,0,0,0,0,0,0,0
737,1762968163913,0,0,0,0,0,0,0,0
738,1762968164062,0,0,0,3.32,0,0,0,0
739,1762968164245,0,0,0,0,0,0,0,0
740,1762968164345,0,0,0,0,0,0,0,0
741,1762968164478,0,0,0,3.31,0,0,0,0
742,1762968164578,0,0,0,0,0,0,0,0
743,1762968164696,0,0,0,0,0,0,0,0
744,1762968164803,0,0,0,0,0,0,0,0
745,1762968164912,0,0,0,0,0,0,0,0
746,1762968165045,0,0,0,0,0,0,0,0
747,1762968165128,0,0,0,0,0,0,0,0
748,1762968165228,0,0,0,0,0,0,0,0
749,1762968165344,0,0,0,0,0,0,0,0
750,1762968165444,0,0,0,0,0,0,0,0
751,1762968165578,0,0,0,0,0,0,0,0
752,1762968165694,0,0,0,0,0,0,0,0
753,1762968165827,0,0,0,0,0,0,0,0
754,1762968165912,0,0,0,0,0,0,0,0
755,1762968166011,0,0,0,0,0,0,0,0
756,1762968166226,0,0,0,0,0,0,0,0
757,1762968166344,0,0,0,0,0,0,0,0
758,1762968166443,0,0,0,0,0,0,0,0
759,1762968166560,0,0,0,0,0,0,0,0
760,1762968166661,0,0,0,0,0,0,0,0
761,1762968166778,0,0,0,0,0,0,0,0
762,1762968166927,0,0,0,0,0,0,0,0
763,1762968167109,0,0,0,0,0,0,0,0
764,1762968167226,0,0,0,0,0,0,0,0
765,1762968167327,0,0,0,0,0,0,0,0
766,1762968167443,0,0,0,0,0,0,0,0
767,1762968167543,0,0,0,0,0,0,0,0
768,1762968167658,0,0,0,0,0,0,0,0
769,1762968167776,0,0,0,3.31,0,0,0,0
770,1762968168093,0,0,0,0,0,0,0,0
771,1762968168208,0,0,0,0,0,0,0,0
772,1762968168308,0,0,0,0,0,0,0,0
773,1762968168425,0,0,0,0,0,0,0,0
774,1762968168542,0,0,0,0,0,0,0,0
775,1762968168659,0,0,0,0,0,0,0,0
776,1762968168759,0,0,0,0,0,0,0,0
777,1762968168877,0,0,0,0,0,0,0,0
778,1762968168991,0,0,0,0,0,0,0,0
779,1762968169125,0,0,0,0,0,0,0,0
780,1762968169307,0,0,0,0,0,0,0,0
781,1762968169441,0,0,0,0,0,0,0,0
782,1762968169607,0,0,0,0,0,0,0,0
783,1762968169724,0,0,0,0,0,0,0,0
784,1762968169908,0,0,0,0,0,0,0,0
785,1762968170041,0,0,0,0,0,0,0,0
786,1762968170125,0,0,0,0,0,0,0,0
787,1762968170208,0,0,0,0,0,0,0,0
788,1762968170424,0,0,0,0,0,0,0,0
789,1762968170574,0,0,0,1,0,0,0,0
790,1762968170707,0,0,0,0,0,0,0,0
791,1762968170791,0,0,0,3.31,0,0,0,0
792,1762968170957,0,0,0,0,0,0,0,0
793,1762968171074,0,0,0,0,0,0,0,0
794,1762968171173,0,0,0,0,0,0,0,0
795,1762968171291,0,0,0,0,0,0,0,0
796,1762968171441,0,0,0,0,0,0,0,0
797,1762968171575,0,0,0,0,0,0,0,0
798,1762968171739,0,0,0,0,0,0,0,0
799,1762968171807,0,0,0,0,0,0,0,0
800,1762968172190,0,0,0,0,0,0,0,0
801,1762968172423,0,0,0,0,0,0,0,0
802,1762968172572,0,0,0,0,0,0,0,0
803,1762968172672,0,0,0,0,0,0,0,0
804,1762968172805,0,0,0,0,0,0,0,0
805,1762968172943,0,0,0,0,0,0,0,0
806,1762968173039,0,0,0,0,0,0,0,0
807,1762968173155,0,0,0,0,0,0,0,0
808,1762968173272,0,0,0,0,0,0,0,0
809,1762968173389,0,0,0,0,0,0,0,0
810,1762968173489,0,0,0,1,0,0,0,0
811,1762968173605,0,0,0,0,0,0,0,0
812,1762968173939,0,0,0,0,0,0,0,0
813,1762968174056,0,0,0,3.27,0,0,0,0
814,1762968174155,0,0,0,0,0,0,0,0
815,1762968174255,0,0,0,0,0,0,0,0
816,1762968174370,0,0,0,0,0,0,0,0
817,1762968174503,0,0,0,0,0,0,0,0
818,1762968174604,0,0,0,0,0,0,0,0
819,1762968174703,0,0,0,0,0,0,0,0
820,1762968174819,0,0,0,0,0,0,0,0
821,1762968174920,0,0,0,0,0,0,0,0
822,1762968175019,0,0,0,0,0,0,0,0
823,1762968175136,0,0,0,0,0,0,0,0
824,1762968175253,0,0,0,0,0,0,0,0
825,1762968175370,0,0,0,0,0,0,0,0
826,1762968175486,0,0,0,0,0,0,0,0
827,1762968175586,0,0,0,0,0,0,0,0
828,1762968175719,0,0,0,0,0,0,0,0
829,1762968175803,0,0,0,0,0,0,0,0
830,1762968175902,0,0,0,0,0,0,0,0
831,1762968176018,0,0,0,0,0,0,0,0
832,1762968176119,0,0,0,0,0,0,0,0
833,1762968176235,0,0,0,0,0,0,0,0
834,1762968176451,0,0,0,0,0,0,0,0
835,1762968176586,0,0,0,0,0,0,0,0
836,1762968176702,0,0,0,0,0,0,0,0
837,1762968176784,0,0,0,1,0,0,0,0
838,1762968176884,0,0,0,0,0,0,0,0
839,1762968177117,0,0,0,0,0,0,0,0
840,1762968177233,0,0,0,0,0,0,0,0
841,1762968177333,0,0,0,0,0,0,0,0
842,1762968177454,0,0,0,0,0,0,0,0
843,1762968177567,0,0,0,0,0,0,0,0
844,1762968177685,0,0,0,0,0,0,0,0
845,1762968177785,0,0,0,0,0,0,0,0
846,1762968177885,0,0,0,0,0,0,0,0
847,1762968178002,0,0,0,0,0,0,0,0
848,1762968178217,0,0,0,0,0,0,0,0
849,1762968178434,0,0,0,0,0,0,0,0
850,1762968178649,0,0,0,0,0,0,0,0
851,1762968178799,0,0,0,0,0,0,0,0
852,1762968178883,0,0,0,0,0,0,0,0
853,1762968179018,0,0,0,0,0,0,0,0
854,1762968179200,0,0,0,0,0,0,0,0
855,1762968179316,0,0,0,0,0,0,0,0
856,1762968179416,0,0,0,0,0,0,0,0
857,1762968179566,0,0,0,0,0,0,0,0
858,1762968179665,0,0,0,0,0,0,0,0
859,1762968179932,0,0,0,0,0,0,0,0
860,1762968179982,0,0,0,0,0,0,0,0
